# Open Chinese Convert (OpenCC) Dictionary
# File: CJK_Compatibility_Ideographs.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt (accessed 2026-06-07)
# Used in configs: all built-in configs (hk2s, hk2sp, hk2t, jp2t, s2hk, s2hkp,
#   s2t, s2tw, s2twp, t2hk, t2jp, t2s, t2tw, tw2s, tw2sp, tw2t) via the
#   normalization field, which runs this dictionary as a pre-pass before
#   segmentation and conversion.
# Compatible OpenCC implementations are encouraged to apply the same
#   normalization pre-pass so that CJK Compatibility Ideograph input is handled
#   consistently across implementations.
#
# Notes:
# - This file maps CJK Compatibility Ideographs to their UnicodeData
#   decomposition targets, normalizing compatibility forms to standard
#   CJK unified ideographs before the main conversion chain runs.
# - It is also used as a reference table for tests and audits, including
#   checks that prevent regular dictionaries from accidentally adding
#   incorrect compatibility ideograph mappings.
# - Includes both the BMP block (U+F900–U+FAFF) and the CJK Compatibility
#   Ideographs Supplement block (U+2F800–U+2FA1F).
# - The following CJK Compatibility Ideographs have no decomposition
#   mapping in UnicodeData.txt and are therefore not listed as entries:
#   﨎 U+FA0E CJK COMPATIBILITY IDEOGRAPH-FA0E
#   﨏 U+FA0F CJK COMPATIBILITY IDEOGRAPH-FA0F
#   﨑 U+FA11 CJK COMPATIBILITY IDEOGRAPH-FA11
#   﨓 U+FA13 CJK COMPATIBILITY IDEOGRAPH-FA13
#   﨔 U+FA14 CJK COMPATIBILITY IDEOGRAPH-FA14
#   﨟 U+FA1F CJK COMPATIBILITY IDEOGRAPH-FA1F
#   﨡 U+FA21 CJK COMPATIBILITY IDEOGRAPH-FA21
#   﨣 U+FA23 CJK COMPATIBILITY IDEOGRAPH-FA23
#   﨤 U+FA24 CJK COMPATIBILITY IDEOGRAPH-FA24
#   﨧 U+FA27 CJK COMPATIBILITY IDEOGRAPH-FA27
#   﨨 U+FA28 CJK COMPATIBILITY IDEOGRAPH-FA28
#   﨩 U+FA29 CJK COMPATIBILITY IDEOGRAPH-FA29

# CJK Compatibility Ideographs
# 豈 U+F900 -> 豈 U+8C48
豈	豈
# 更 U+F901 -> 更 U+66F4
更	更
# 車 U+F902 -> 車 U+8ECA
車	車
# 賈 U+F903 -> 賈 U+8CC8
賈	賈
# 滑 U+F904 -> 滑 U+6ED1
滑	滑
# 串 U+F905 -> 串 U+4E32
串	串
# 句 U+F906 -> 句 U+53E5
句	句
# 龜 U+F907 -> 龜 U+9F9C
龜	龜
# 龜 U+F908 -> 龜 U+9F9C
龜	龜
# 契 U+F909 -> 契 U+5951
契	契
# 金 U+F90A -> 金 U+91D1
金	金
# 喇 U+F90B -> 喇 U+5587
喇	喇
# 奈 U+F90C -> 奈 U+5948
奈	奈
# 懶 U+F90D -> 懶 U+61F6
懶	懶
# 癩 U+F90E -> 癩 U+7669
癩	癩
# 羅 U+F90F -> 羅 U+7F85
羅	羅
# 蘿 U+F910 -> 蘿 U+863F
蘿	蘿
# 螺 U+F911 -> 螺 U+87BA
螺	螺
# 裸 U+F912 -> 裸 U+88F8
裸	裸
# 邏 U+F913 -> 邏 U+908F
邏	邏
# 樂 U+F914 -> 樂 U+6A02
樂	樂
# 洛 U+F915 -> 洛 U+6D1B
洛	洛
# 烙 U+F916 -> 烙 U+70D9
烙	烙
# 珞 U+F917 -> 珞 U+73DE
珞	珞
# 落 U+F918 -> 落 U+843D
落	落
# 酪 U+F919 -> 酪 U+916A
酪	酪
# 駱 U+F91A -> 駱 U+99F1
駱	駱
# 亂 U+F91B -> 亂 U+4E82
亂	亂
# 卵 U+F91C -> 卵 U+5375
卵	卵
# 欄 U+F91D -> 欄 U+6B04
欄	欄
# 爛 U+F91E -> 爛 U+721B
爛	爛
# 蘭 U+F91F -> 蘭 U+862D
蘭	蘭
# 鸞 U+F920 -> 鸞 U+9E1E
鸞	鸞
# 嵐 U+F921 -> 嵐 U+5D50
嵐	嵐
# 濫 U+F922 -> 濫 U+6FEB
濫	濫
# 藍 U+F923 -> 藍 U+85CD
藍	藍
# 襤 U+F924 -> 襤 U+8964
襤	襤
# 拉 U+F925 -> 拉 U+62C9
拉	拉
# 臘 U+F926 -> 臘 U+81D8
臘	臘
# 蠟 U+F927 -> 蠟 U+881F
蠟	蠟
# 廊 U+F928 -> 廊 U+5ECA
廊	廊
# 朗 U+F929 -> 朗 U+6717
朗	朗
# 浪 U+F92A -> 浪 U+6D6A
浪	浪
# 狼 U+F92B -> 狼 U+72FC
狼	狼
# 郎 U+F92C -> 郎 U+90CE
郎	郎
# 來 U+F92D -> 來 U+4F86
來	來
# 冷 U+F92E -> 冷 U+51B7
冷	冷
# 勞 U+F92F -> 勞 U+52DE
勞	勞
# 擄 U+F930 -> 擄 U+64C4
擄	擄
# 櫓 U+F931 -> 櫓 U+6AD3
櫓	櫓
# 爐 U+F932 -> 爐 U+7210
爐	爐
# 盧 U+F933 -> 盧 U+76E7
盧	盧
# 老 U+F934 -> 老 U+8001
老	老
# 蘆 U+F935 -> 蘆 U+8606
蘆	蘆
# 虜 U+F936 -> 虜 U+865C
虜	虜
# 路 U+F937 -> 路 U+8DEF
路	路
# 露 U+F938 -> 露 U+9732
露	露
# 魯 U+F939 -> 魯 U+9B6F
魯	魯
# 鷺 U+F93A -> 鷺 U+9DFA
鷺	鷺
# 碌 U+F93B -> 碌 U+788C
碌	碌
# 祿 U+F93C -> 祿 U+797F
祿	祿
# 綠 U+F93D -> 綠 U+7DA0
綠	綠
# 菉 U+F93E -> 菉 U+83C9
菉	菉
# 錄 U+F93F -> 錄 U+9304
錄	錄
# 鹿 U+F940 -> 鹿 U+9E7F
鹿	鹿
# 論 U+F941 -> 論 U+8AD6
論	論
# 壟 U+F942 -> 壟 U+58DF
壟	壟
# 弄 U+F943 -> 弄 U+5F04
弄	弄
# 籠 U+F944 -> 籠 U+7C60
籠	籠
# 聾 U+F945 -> 聾 U+807E
聾	聾
# 牢 U+F946 -> 牢 U+7262
牢	牢
# 磊 U+F947 -> 磊 U+78CA
磊	磊
# 賂 U+F948 -> 賂 U+8CC2
賂	賂
# 雷 U+F949 -> 雷 U+96F7
雷	雷
