16强赛	八分之一决赛
32强赛	十六分之一决赛
Billboard二百强专辑榜	公告牌二百强专辑榜
Billboard百强单曲榜	公告牌百强单曲榜
Eminem	埃米纳姆
Gaon单曲榜	Gaon数字榜
Muse	缪斯乐队
Nike	耐克
Nirvana	涅盘乐队
Parkour	跑酷
SHARP	夏普
Yamaha	雅马哈
七人榄球	七人制橄榄球
七大工业国组织	七国集团
三项铁人	铁人三项
专案	项目
世大运	大运会
世界反运动禁药机构	世界反兴奋剂机构
世界大学运动会	世界大学生运动会
世界杯乒乓球赛	国际乒联世界杯
世界杯女子排球赛	国际排联女子排球世界杯
世界杯排球赛	国际排联排球世界杯
世界杯桌球赛	国际乒联世界杯
世界杯榄球赛	橄榄球世界杯赛
世界杯橄榄球赛	橄榄球世界杯赛
世界杯男子排球赛	国际排联男子排球世界杯
世界杯篮球赛	国际篮联篮球世界杯
东协	东盟
东南亚国家协会	东南亚国家联盟
中乐团	民乐团
串流媒体	流媒体
主音歌手	主唱
乌克丽丽	尤克里里
乐仪队	仪乐队
亚东鱼	金枪鱼
亚尔维斯	阿尔维斯
亚帕运	亚残会
亚斯特拉欧斯	阿斯特赖俄斯
亚残运会	亚残会
亚洲帕拉运动会	亚洲残疾人运动会
亚细安	东盟
亚细安组织	东南亚国家联盟
亨德密特	欣德米特
伏地挺身	俯卧撑
低传真	低保真
低音号	大号
低音电结他	电贝斯
低音结他	贝斯
佛朗明哥	弗拉门戈
佛瑞	福雷
健力士世界纪录	吉尼斯世界纪录
傻瓜庞克	傻朋克
光明之路	光辉道路
光碟	光盘
克列尼亚	刻律涅
克尔	刻耳
克拉术	古拉什
克柔术	古拉什
克罗埃西亚	克罗地亚
克罗采	克鲁采
全录	施乐
八大工业国组织	八国集团
八强赛	四分之一决赛
六大工业国组织	六国集团
共和联邦	英联邦
内政和家园部	内政和国土部
军刀	佩剑
准决赛	半决赛
凯隆	喀戎
划船	赛艇
前地	广场
剑击	击剑
加州大学柏克莱分校	加州大学伯克利分校
劳动及社会事务部	劳工和社会保障部
包浩斯	包豪斯
北欧混合式滑雪	北欧两项
十大专辑	十强专辑
十大串流	十强流媒体
十大单曲	十强单曲
十大数位	十强数字
十大歌曲	十强歌曲
十大电台	十强电台
