# Open Chinese Convert (OpenCC) Dictionary
# File: HKPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: s2hkp.json (via HKPhrases.ocd2)

丹尼·博伊爾	丹尼·波爾
亞歷杭德羅·岡薩雷斯·伊納裏圖	艾力謝路·高沙里斯·依拿力圖
伊利亞·卡贊	伊力·卡山
伊利諾伊	伊利諾
伊利諾伊州	伊利諾州
伍迪·艾倫	活地·亞倫
俄克拉何馬	奧克拉荷馬
俄克拉何馬州	奧克拉荷馬州
俄克拉荷馬	奧克拉荷馬
俄克拉荷馬州	奧克拉荷馬州
保羅·哈吉斯	保羅·夏傑斯
保羅·托馬斯·安德森	保羅·湯馬士·安德遜
光標	游標
克林特·伊斯特伍德	奇連·伊士活
克里斯托弗·諾蘭	基斯杜化·路蘭
凱文·科斯特納	奇雲·高士拿
凱瑟琳·畢格羅	嘉芙蓮·碧格露
北卡羅來納	北卡羅萊納
北卡羅來納州	北卡羅萊納州
南卡羅來納	南卡羅萊納
南卡羅來納州	南卡羅萊納州
史蒂夫·麥奎因	史提夫·麥昆
吉列爾莫·德爾托羅	古利姆·迪托路
喬治·克魯尼	佐治·古尼
大衛·利恩	大衛·連
奧利弗·斯通	奧利華·史東
威廉·弗萊德金	威廉·佛烈金
密歇根	密芝根
密歇根州	密芝根州
寬帶	寬頻
山姆·曼德斯	森·曼特斯
布拉德·皮特	畢·彼特
幾率	機率 概率
弗吉尼亞	維珍尼亞
弗吉尼亞州	維珍尼亞州
弗朗西絲·麥克多曼德	法蘭絲·麥杜雯
彼得·傑克遜	彼德·積遜
得克薩斯	德薩斯
得克薩斯州	德薩斯州
德克薩斯	德薩斯
德克薩斯州	德薩斯州
搜索	搜尋
操作系統	作業系統
文件夾	資料夾
斯蒂芬·斯皮爾伯格	史提芬·史匹堡
服務器	伺服器
朗·霍華德	朗·侯活
本·阿弗萊克	賓·艾佛力
查爾斯·羅文	查理士·路雲
梅爾·吉布森	米路·吉遜
概率	概率 機會率
沃倫·比蒂	華倫·比提
湯姆·霍伯	湯賀柏
硬盤	硬碟
科恩兄弟	高安兄弟
簡·坎皮恩	珍·甘比茵
米歇爾·阿扎納維西於斯	米高·哈薩拿維斯
約瑟夫·曼凱維奇	約瑟·曼基威士
編程語言	程式語言
羅伯特·懷斯	羅拔·淮斯
羅伯特·澤米吉斯	羅拔·湛米基斯
羅伯特·雷德福	羅拔·烈福
羅得島	羅德島
羅得島州	羅德島州
肖恩·貝克	辛·貝克
舒芙蕾	梳芙厘
艾瑪·托馬斯	愛瑪·湯馬士
西弗吉尼亞	西維珍尼亞
西弗吉尼亞州	西維珍尼亞州
詹姆斯·卡梅隆	占士·金馬倫
諾蘭	路蘭
賓夕法尼亞	賓夕凡尼亞
賓夕法尼亞州	賓夕凡尼亞州
邁克·尼科爾斯	米克·尼高斯
邁克爾·道格拉斯	米高·德格拉斯
阿黛爾·羅曼斯基	愛黛兒·羅曼斯基
隱私權	私隱權
馬丁·斯科塞斯	馬田·史高西斯
馬里蘭	馬利蘭
馬里蘭州	馬利蘭州
鼠標	滑鼠
