# Open Chinese Convert (OpenCC) Dictionary
# File: HKPhrasesRev.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2sp.json (via HKPhrasesRev.ocd2)

伊利諾	伊利諾伊
伊利諾州	伊利諾伊州
伺服器	服務器
作業系統	操作系統
北卡羅萊納	北卡羅來納
北卡羅萊納州	北卡羅來納州
南卡羅萊納	南卡羅來納
南卡羅萊納州	南卡羅來納州
奧克拉荷馬	俄克拉何馬 俄克拉荷馬
奧克拉荷馬州	俄克拉何馬州 俄克拉荷馬州
密芝根	密歇根
密芝根州	密歇根州
寬頻	寬帶
德薩斯	得克薩斯 德克薩斯
德薩斯州	得克薩斯州 德克薩斯州
搜尋	搜索
梳芙厘	舒芙蕾
概率	概率 幾率
機會率	概率
機率	幾率
游標	光標
滑鼠	鼠標
硬碟	硬盤
私隱權	隱私權
程式語言	編程語言
維珍尼亞	弗吉尼亞
維珍尼亞州	弗吉尼亞州
羅德島	羅得島
羅德島州	羅得島州
西維珍尼亞	西弗吉尼亞
西維珍尼亞州	西弗吉尼亞州
資料夾	文件夾
賓夕凡尼亞	賓夕法尼亞
賓夕凡尼亞州	賓夕法尼亞州
馬利蘭	馬里蘭
馬利蘭州	馬里蘭州
