# Open Chinese Convert (OpenCC) Dictionary
# File: HKVariantsPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: s2hk.json, t2hk.json
#
# Notes:
# - This file contains phrase-level exceptions for forward Hong Kong variant
#   conversion. When a phrase here is matched, that span is converted by this
#   entry and is not affected by the character-level HKVariants.txt mappings.
# - It is related to HKVariantsRevPhrases.txt, but the two files are not
#   required to be exact reverse mappings. Each file should cover the phrase
#   exceptions needed by its own conversion direction.

一幻拉麪	一幻拉麵
一粥麪	一粥麵
三田製麪所	三田製麵所
仙姑峯	仙姑峰
何芷姍	何芷姗
佛教茂峯法師紀念中學	佛教茂峰法師紀念中學
儒林台	儒林臺
儒林臺	儒林臺
光明台	光明臺
光明臺	光明臺
光景台	光景臺
光景臺	光景臺
光漢台	光漢臺
光漢臺	光漢臺
冠冕台	冠冕臺
冠冕臺	冠冕臺
冠峯街	冠峰街
冼靖峯	冼靖峰
列拿士地台	列拿士地臺
列拿士地臺	列拿士地臺
利羣道	利群道
利舞台廣場	利舞臺廣場
利舞臺廣場	利舞臺廣場
劉利羣	劉利群
加倫台	加倫臺
加倫臺	加倫臺
加冕台	加冕臺
加冕臺	加冕臺
北港島線	北港島綫
北環線	北環綫
北角台	北角臺
北角臺	北角臺
匯基書院	滙基書院
匯豐	滙豐
匯豐銀行	滙豐銀行
南港島線	南港島綫
南記粉麪	南記粉麵
吃茶舍	喫茶舍
合羣街	合群街
吳子沖	吳子冲
味千拉麪	味千拉麵
啟思中學	啓思中學
喫茶小舖	喫茶小舖
喫茶舍	喫茶舍
大埔循道衛理小學	大埔循道衛理小學
大埔循道衞理小學	大埔循道衛理小學
大學教育資助委員會祕書處	大學教育資助委員會秘書處
大安台	大安臺
大安臺	大安臺
大班麪包西餅	大班麵包西餅
天文台圍	天文臺圍
天文台道	天文臺道
天文臺圍	天文臺圍
天文臺道	天文臺道
姜詠鑫	姜咏鑫
孖峯嶺路	孖峰嶺路
安慶台	安慶臺
安慶臺	安慶臺
安羣街	安群街
宋皇台	宋皇臺
宋皇台道	宋皇臺道
宋皇臺	宋皇臺
宋皇臺道	宋皇臺道
宏豐台	宏豐臺
宏豐臺	宏豐臺
寧漢豪	甯漢豪
寶峯徑	寶峰徑
將軍澳循道衛理小學	將軍澳循道衛理小學
將軍澳循道衞理小學	將軍澳循道衛理小學
將軍澳線	將軍澳綫
尖尾峯	尖尾峰
尖峯山	尖峰山
尚麪	尚麵
屯馬線	屯馬綫
山坡台	山坡臺
山坡臺	山坡臺
山城小麪	山城小麵
山崎麪飽	山崎麵飽
山村台	山村臺
山村臺	山村臺
山邊台	山邊臺
山邊臺	山邊臺
峯華邨	峰華邨
峯霞道	峰霞道
巷仔見麪館	巷仔見麵館
幺鳳士多	么鳳士多
康福台	康福臺
康福臺	康福臺
建羣街	建群街
張柏芝	張柏芝
張栢芝	張栢芝
張穎康	張頴康
張華峯	張華峰
張衛健	張衛健
張衞健	張衛健
循道衛理	循道衛理
循道衞理	循道衛理
恆大	恒大
恆指	恒指
恆生	恒生
恆生大學	恒生大學
恆生指數	恒生指數
愉峯道	愉峰道
愛羣道	愛群道
截取通訊及監察事務專員祕書處	截取通訊及監察事務專員秘書處
摩頓台	摩頓臺
摩頓臺	摩頓臺
春暉台	春暉臺
春暉臺	春暉臺
景峯	景峰
景峯徑	景峰徑
朱匯林	朱滙林
朱柏康	朱栢康
朱柏謙	朱栢謙
李啟傑	李啓傑
李鉅峯	李鉅峰
杜琪峯	杜琪峰
東九龍線	東九龍綫
東山台	東山臺
東山臺	東山臺
東涌線	東涌綫
東鐵線	東鐵綫
林一峯	林一峰
林曉峯	林曉峰
林正峯	林正峰
林海峯	林海峰
林逸峯	林逸峰
桃李台	桃李臺
桃李臺	桃李臺
梁季彝中學	梁季彜中學
梁證嘉	梁証嘉
梁輝台	梁輝臺
梁輝臺	梁輝臺
梁釗峯	梁釗峰
梅豔芳	梅艷芳
榮華台	榮華臺
榮華臺	榮華臺
樂景台	樂景臺
樂景臺	樂景臺
樂羣街	樂群街
樓梯台	樓梯臺
樓梯臺	樓梯臺
機場快線	機場快綫
正斗粥麪專家	正斗粥麵專家
沙中線	沙中綫
沙田循道衛理小學	沙田循道衛理小學
沙田循道衞理小學	沙田循道衛理小學
河上鄉排峯路	河上鄉排峰路
活倫台	活倫臺
活倫臺	活倫臺
温兆倫	溫兆倫
温碧霞	溫碧霞
港島線	港島綫
溫兆倫	溫兆倫
溫碧霞	溫碧霞
潘雲峯	潘雲峰
澳美斯牀褥	澳美斯床褥
炮台山循道衛理中學	炮台山循道衛理中學
炮台山循道衞理中學	炮台山循道衛理中學
無線新聞	無綫新聞
無線新聞台	無綫新聞台
爐峯峽	爐峰峽
牛驥同一皁	牛驥同一皁
牛驥同皁	牛驥同皁
王家衛	王家衛
王家衞	王家衛
璧峯路	璧峰路
白石台	白石臺
白石台路	白石臺路
白石臺	白石臺
白石臺路	白石臺路
白臘	白腊
白臘仔	白腊仔
白臘灣	白腊灣
百老匯	百老滙
益羣道	益群道
福羣道	福群道
純喫茶	純喫茶
純陽峯	純陽峰
緬甸台	緬甸臺
緬甸臺	緬甸臺
繼園台	繼園臺
繼園臺	繼園臺
翠羣徑	翠群徑
翡翠拉麪小籠包	翡翠拉麵小籠包
老媽拌麪	老媽拌麵
聯合祕書處	聯合秘書處
肇輝台	肇輝臺
肇輝臺	肇輝臺
育羣街	育群街
脣茶	唇茶
芝古台	芝古臺
芝古臺	芝古臺
英王麪包	英王麵包
英華台	英華臺
英華臺	英華臺
茂峯	茂峰
荃灣線	荃灣綫
荔峯街	荔峰街
萬茂台	萬茂臺
萬茂臺	萬茂臺
葉藴儀	葉蘊儀
葉蘊儀	葉蘊儀
蔡曉峯	蔡曉峰
薪諮會聯合祕書處	薪諮會聯合秘書處
衛志豪	衛志豪
衛蘭	衛蘭
衛訊	衛訊
衛詩	衛詩
衛詩雅	衛詩雅
衞志豪	衛志豪
衞蘭	衛蘭
衞訊	衛訊
衞詩	衛詩
衞詩雅	衛詩雅
西摩台	西摩臺
西摩臺	西摩臺
西灣台	西灣臺
西灣臺	西灣臺
西鐵線	西鐵綫
觀塘線	觀塘綫
諾士佛台	諾士佛臺
諾士佛臺	諾士佛臺
謝詠欣	謝咏欣
豔馬道	艷馬道
迪士尼線	迪士尼綫
郭偉強	郭偉强
郭柏妍	郭柏姸
鄧梓峯	鄧梓峰
鄭恕峯	鄭恕峰
鄭衍峯	鄭衍峰
金龍台	金龍臺
金龍臺	金龍臺
鉛礦坳	鉛鑛坳
銀台路	銀臺路
銀礦灣	銀鑛灣
銀礦灣路	銀鑛灣路
銀線灣道	銀綫灣道
銀臺路	銀臺路
鋼線灣道	鋼綫灣道
錦繡大道	錦綉大道
錦繡花園	錦綉花園
阮政峯	阮政峰
陳柏緯	陳栢緯
雅芳婷牀褥	雅芳婷床褥
雅蘭牀褥	雅蘭床褥
青蓮台	青蓮臺
青蓮臺	青蓮臺
馬鞍山循道衛理小學	馬鞍山循道衛理小學
馬鞍山循道衞理小學	馬鞍山循道衛理小學
馬頭峯	馬頭峰
駿羣路	駿群路
騰龍台	騰龍臺
騰龍臺	騰龍臺
高盛台	高盛臺
高盛臺	高盛臺
魏韻芝	魏韵芝
鳳凰台	鳳凰臺
鳳凰臺	鳳凰臺
鳳羣徑	鳳群徑
鳳羣街	鳳群街
鳳輝台	鳳輝臺
鳳輝臺	鳳輝臺
麪房街	麵房街
麪房里	麵房里
黃成	黃成
黃柏文	黃栢文
黃柏鳴	黃栢鳴
鼇磡	鰲磡
鼇磡沙	鰲磡沙
鼇磡石	鰲磡石
鼇魚頭	鰲魚頭
