Gaon數字榜	Gaon單曲榜
七人制橄欖球	七人欖球
七大工業國組織	七國集團
三角鋼琴	平台鋼琴
不列顛哥倫比亞大學	英屬哥倫比亞大學
世大運	大運會
世界反興奮劑機搆	世界反運動禁藥機構
世界大學運動會	世界大學生運動會
世界盃女子排球賽	國際排總女子排球世界盃
世界盃排球賽	國際排總排球世界盃
世界盃桌球賽	世界盃乒乓球賽
世界盃橄欖球賽	世界盃欖球賽
世界盃男子排球賽	國際排總男子排球世界盃
世界盃籃球賽	國際籃總籃球世界盃
主唱	主音歌手
亞帕運	亞殘運會
亞東魚	吞拿魚
亞殘會	亞殘運會
亞洲帕拉運動會	亞洲殘疾人運動會
亞爾維斯	阿爾維斯
亞細安	東協
亞細安組織	東南亞國家協會
亨德爾	韓德爾
仰泳	背泳
伏地挺身	掌上壓
伯克利	柏克萊
低保真	低傳真
低音號	大號
佛朗明哥	法蘭明歌
佛蘭德	法蘭德斯
信息主管	資訊總監
俯臥撐	掌上壓
傻朋克	傻瓜龐克
光盤	光碟
光輝道路	光明之路
克拉術	克柔術
克羅埃西亞	克羅地亞
克魯釆	克羅釆
內政和國土部	內政和家園部
全錄	施樂
八分之一決賽	16強賽
八國集團	八大工業國組織
公告牌	告示牌
公告牌二百強專輯榜	Billboard二百強專輯榜
公告牌百強單曲榜	Billboard百強單曲榜
六國集團	六大工業國組織
共和聯邦	英聯邦
凱林賽	競輪賽
凱爾特女人	天使女伶
凱隆	奇倫
出租車	的士
切利比達克	傑利畢達克
划船	賽艇
刻律涅	克列尼亞
刻耳	克爾
前地	廣場
加州大學伯克利分校	加州大學柏克萊分校
加里和領跑者組合	蓋瑞與前導者合唱團
勃拉姆斯	布拉姆斯
勛伯格	荀伯克
勞工和社會保障部	勞動及社會事務部
包豪斯	包浩斯
北歐混合式滑雪	北歐兩項
十六分之一決賽	32強賽
十大串流	十強串流
十大單曲	十強單曲
十大專輯	十強專輯
十大數位	十強數碼
十大歌曲	十強歌曲
十大電台	十強電台
十強數字	十強數碼
十強流媒體	十強串流
升特	陞特
半決賽	準決賽
半準決賽	八強賽
博諾	波諾
卡伊達組織	阿爾蓋達組織
卡內基梅隆大學	卡尼基美隆大學
卡內基美隆大學	卡尼基美隆大學
卡巴賴夫斯基	卡巴列夫斯基
卡爾海因茨	卡爾海因茲
卡特彼勒	卡特比勒
厄客德娜	艾奇德娜
古拉什	克柔術
台球	桌球
史丹佛	史丹福
史丹佛大學	史丹福大學
史克里亞賓	史加爾亞賓
史密斯飛船	史密夫飛船
司諾克	士碌架
吉他	結他
吉尼斯世界紀錄	健力士世界紀錄
告示牌二百大專輯榜	Billboard二百強專輯榜
告示牌百大單曲榜	Billboard百強單曲榜
和聲	和音
和聲歌手	和音
哈恰圖良	哈察都量
哈爾斯坦	霍爾斯坦
哈耳庇厄	哈比
哈迪斯	哈帝斯
哥特	哥德
哥特堡	哥德堡
唐納	當奴
唐納德	當奴
喀戎	奇倫
四分之一決賽	八強賽
固特異	好時年
國樂團	中樂團
國際乒聯世界杯	世界盃乒乓球賽
國際排聯女子排球世界杯	國際排總女子排球世界盃
國際排聯排球世界杯	國際排總排球世界盃
國際排聯男子排球世界杯	國際排總男子排球世界盃
國際籃聯籃球世界杯	國際籃總籃球世界盃
國際貿易朮語	國際商業用語
國際貿易朮語解釋通則	國貿條規
團結工聯	團結工會
在彩虹中	彩虹裏
坦米爾	泰米爾
埃爾加	艾爾加
埃米納姆	Eminem
執行長	行政總裁
基地組織	阿爾蓋達組織
基辛	紀新
塞勒涅	施蓮娜
塞格斯坦	薩格士譚
夏布里埃	夏布里耶
夏普	SHARP
大先生樂隊	大人物合唱團
大流士	戴流士
大英國協	英聯邦
奧伊斯特拉赫	埃爾斯蒂克
威斯特里	維斯特里
威瑞森	威訊
威風堂堂	威風凜凜
嬌生	強生
孟德爾頌	孟德爾遜
安德瓦利	安德瓦里
安格爾博達	安格爾波達
室內樂	室樂
富比士	福布斯
富特文格勒	福特萬格勒
寶鹼	寶潔
小紅莓合唱團	小紅莓樂隊
尤克里里	夏威夷小結他
尤彌爾	伊米爾
山葉	Yamaha
峇釐	峇里
巴倫博伊姆	巴倫邦
巴倫波因	巴倫邦
巴托克	巴托
巴爾托克	巴托
巴赫	巴哈
巴釐	峇里
市場總監	行銷長
布列玆	布萊茲
布瑞頓	布烈頓
布里頓	布烈頓
希爾貝克	歇爾貝克
帕委會	殘委會
帕拉林匹克	殘疾人奧林匹克
帕拉林匹克運動會	殘疾人奧林匹克運動會
帕拉運動會	殘疾人運動會
帕海貝爾	鮑海貝爾
帕赫貝爾	鮑海貝爾
帕運	殘奧
幼兒園	幼稚園
康奈爾	康乃爾
康奈爾大學	康乃爾大學
弗勞恩霍夫協會	夫朗和斐協會
弗拉門戈	法蘭明歌
弗朗茨	法蘭茲
弗洛倫斯與機器	芙蘿倫絲機進份子
彈翻床	彈床
德士	的士
德弗札克	德伏扎克
德彪西	德布西
德沃夏克	德伏扎克
快速面	即食麪
怪人合唱團	治療樂隊
戈塞克	哥塞克
戰前女神	懷舊女郎
戴留斯	戴流士
披頭士	披頭四
拉冬	拉頓
拉特	萊特
拉赫瑪尼諾夫	拉赫曼尼諾夫
拜律特音樂節	拜羅伊特音樂節
捷泳	自由泳
掌旗官	持旗手
揚松斯	贊臣士
摔跤	摔角
擊劍	劍擊
數位下載	數碼下載
數位及交通部	數碼及交通部
數位單曲	數碼單曲
數位專輯	數碼專輯
數位廳	數碼廳
數位榜	數碼榜
數位歌曲	數碼歌曲
數位版	數碼版
數位發行	數碼發行
數位音樂	數碼音樂
數位音樂下載	數碼音樂下載
數字下載	數碼下載
數字化和交通部	數碼及交通部
數字單曲	數碼單曲
數字專輯	數碼專輯
數字廳	數碼廳
數字榜	數碼榜
數字歌曲	數碼歌曲
數字版	數碼版
數字發行	數碼發行
數字音樂	數碼音樂
數字音樂下載	數碼音樂下載
斯克里亞賓	史加爾亞賓
斯卡拉蒂	史卡拉第
斯坦福	史丹福
斯坦福大學	史丹福大學
斯特拉文斯基	史特拉汶斯基
斯美塔那	史麥塔納
斯諾克	士碌架
方便面	即食麪
施尼特凱	舒尼格
施托克豪森	史托克豪森
施特勞斯	史特勞斯
施瓦茨科普夫	舒瓦茲柯芙
旗手	持旗手
昂山素季	昂山素姬
普列特涅夫	普雷特涅夫
普度大學	普渡大學
普羅科菲耶夫	浦羅哥菲夫
普羅高菲夫	浦羅哥菲夫
普賽爾	浦賽爾
智慧財產權	知識產權
朋克	龐克
朝鮮戰爭	韓戰
杜達梅爾	杜達美
東南亞國家聯盟	東南亞國家協會
東盟	東協
林肯公園	聯合公園
柏遼玆	白遼士
查爾達什	查爾達斯
柯達伊	高大宜
格什溫	歌舒詠
格林卡	葛令卡
格芯	格羅方德
格萊美	格林美
格蘭杰	格蘭傑
格里格	葛利格
梅西安	梅湘
楊頌斯	贊臣士
榮克	容克
樂儀隊	儀樂隊
橄欖球	欖球
橄欖球世界杯賽	世界盃欖球賽
欣德米特	亨德密特
歐伊斯特拉赫	埃爾斯蒂克
歐洲執行委員會	歐洲聯盟委員會
歐洲暨外交事務部	歐洲及外交事務部
歐洲理事會	歐洲委員會
歐洲空間局	歐洲太空總署
歐洲與外交事務部	歐洲及外交事務部
歐洲足總	歐洲足協
歐洲足聯	歐洲足協
歐盟執委會	歐盟委員會
歐盟執行委員會	歐洲聯盟委員會
歐盟高峰會	歐洲理事會
歐足總	歐足協
歐足聯	歐足協
正大集團	卜蜂集團
殼牌	蜆殼
比利亞松	維拉臣
比約克	碧玉
民樂團	中樂團
沃爾特	華特
波塞冬	波賽頓
泰勒曼	泰雷曼
泰密卡諾夫	捷米爾卡諾夫
流媒體	串流媒體
海克力斯	海格力斯
海利歐斯	希路斯
海廷克	海汀克
海菲茨	海費茲
海飛茲	海費茲
涅槃樂隊	Nirvana
涅特列布科	尼特立哥
涅翠柯	尼特立哥
淡米爾	泰米爾
清唱劇	神劇
清唱套曲	清唱劇
滑輪溜冰	滾軸溜冰
漢威聯合	霍尼韋爾
澳盛銀行	澳新銀行
火車樂隊	追隨者合唱團
烏克麗麗	夏威夷小結他
營利	牟利
特里斯坦與伊索爾德	崔斯坦與伊索德
狄克西女子合唱團	南方小雞
獨立國協	獨聯體
獨立國家國協	獨立國家聯合體
珀塞爾	浦賽爾
瓦格納	華格納
瓦隆	華隆
甜園樂隊	甜園合唱團
畢羅	彪羅
百大串流	百強串流
百大單曲	百強單曲
百大專輯	百強專輯
百大數位	百強數碼
百大歌曲	百強歌曲
百大電台	百強電台
百強數字	百強數碼
百強流媒體	百強串流
皇后樂隊	皇后合唱團
皮划艇	獨木舟
皮同	培冬
盧特	萊特
短曲	短節目
短道競速滑冰	短道速滑
硬核	硬蕊
社會事務與衛生部	社會事務及衞生部
福斯	霍士
福雷	佛瑞
科普蘭	柯普蘭
積體電路制造公司	積體電路製造公司
空中鐵匠	史密夫飛船
策姆林斯基	哲林斯基
節奏布魯斯	節奏藍調
米德加爾德	米德加爾特
約爾蒙干德	耶夢加得
約通海姆	約頓海姆
索尼影視娛樂	索尼影業
綁緊跳	笨豬跳
經濟合作與發展部	經濟合作及發展部
經濟和氣候保護部	經濟事務和氣候行動部
維尼亞夫斯基	維尼奧夫斯基
維珍	維京
維瓦爾第	韋華第
網際網路檔案館	互聯網檔案館
繆斯樂隊	Muse
羅斯卓波維奇	羅斯卓波維契
羅斯特羅波維奇	羅斯卓波維契
美國國家航空暨太空總署	美國太空總署
美國國家航空航天局	美國太空總署
美國線上	美國在線
羽球	羽毛球
翁山淑枝	昂山素姬
翁山蘇姬	昂山素姬
老佛爺百貨公司	拉法葉百貨公司
耐克	Nike
耐吉	Nike
耶羅	雅羅
聲樂套曲	聯篇歌曲
肖斯塔科維奇	蕭斯達高維契
肖邦	蕭邦
腳車	單車
自由車	單車
自行車	單車
舒娃茲柯芙	舒瓦茲柯芙
舒尼特克	舒尼格
艾伍士	艾維士
艾夫斯	艾維士
花式滑冰	花式溜冰
花樣游泳	韻律泳
花樣滑冰	花式溜冰
英偉達	輝達
荀白克	荀伯克
莫什科夫斯基	莫茲可夫斯基
莫札特	莫扎特
華樂團	中樂團
菲亞特	快意
萊比錫布商大廈管弦樂團	萊比錫布業大廳管弦樂團
萊茵河航運中央委員會	萊茵河航運中央執委會
葛人傑	格蘭傑
葛萊美	格林美
蓋希文	歌舒詠
蓋達組織	阿爾蓋達組織
蕭士塔高維奇	蕭斯達高維契
