# Open Chinese Convert (OpenCC) Dictionary
# File: JPVariants.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: t2jp.json

乘	乗
亂	乱
亙	亘
亞	亜
仿	倣
佔	占
佛	仏
侄	姪
來	来
俱	倶
倂	併
值	値
假	仮
傳	伝
僞	偽
僱	雇
價	価
儉	倹
兇	凶
兒	児
兔	兎
內	内
兩	両
冰	氷
冱	冴
剎	刹
剩	剰
劍	剣
劑	剤
勛	勲
勞	労
勳	勲
勵	励
勸	勧
勻	匀
區	区
卷	巻
卻	却
卽	即
參	参
吒	咤
吞	呑
吳	呉
咒	呪
啞	唖
單	単
喻	喩
噓	嘘
嚙	噛
嚴	厳
囑	嘱
圈	圏
國	国
圍	囲
圓	円
圖	図
團	団
堇	菫
堯	尭
填	塡
增	増
墮	堕
壓	圧
壘	塁
壞	壊
壤	壌
壯	壮
壹	壱
壽	寿
奧	奥
奬	奨
妍	姸
妒	妬
妝	粧
姊	姉
姬	姫
娛	娯
孃	嬢
學	学
寢	寝
實	実
寨	砦
寫	写
寬	寛
寶	宝
將	将
專	専
對	対
尙	尚
屆	届
屛	屏
屬	属
峯	峰
峽	峡
嶽	岳
巖	巌
巢	巣
帶	帯
幷	并
廁	厠
廄	厩
廚	厨
廢	廃
廣	広
廳	庁
彈	弾
彌	弥
彎	弯
彥	彦
徑	径
從	従
徵	徴
德	徳
恆	恒
悅	悦
悽	凄
惠	恵
惡	悪
惱	悩
愼	慎
慘	惨
應	応
懷	懐
戀	恋
戰	戦
戱	戯
戲	戯
戶	戸
户	戸
戾	戻
拂	払
拔	抜
拜	拝
挾	挟
插	挿
揭	掲
搔	掻
搖	揺
搜	捜
摑	掴
擇	択
擊	撃
擔	担
據	拠
擧	挙
擴	拡
攜	携
攝	摂
攪	撹
收	収
效	効
敍	叙
敎	教
敕	勅
敘	叙
數	数
斷	断
旣	既
晉	晋
晚	晩
晝	昼
暨	曁
曆	暦
曉	暁
