128位	128位元
12位	12位元
16位	16位元
18位	18位元
1型糖尿病	一型糖尿病
2009年H1N1新型流感疫情	2009年人類豬型流感疫情
2009年H1N1流感大流行	2009年人類豬型流感疫情
2019冠狀病毒疾病	2019冠狀病毒病
24位	24位元
2型糖尿病	二型糖尿病
31位	31位元
32位	32位元
36位	36位元
48位	48位元
4位	4位元
60位	60位元
64位	64位元
80位	80位元
8位	8位元
A型流感	甲型流感
A型肝炎	甲型肝炎
A盤	A磁碟機
A群流腦	流行性腦脊髓膜炎（A型）
BC范式	BC正規形式
B型流感	乙型流感
B型肝炎	乙型肝炎
B盤	B磁碟機
CP值	性價比
C型流感	丙型流感
C型肝炎	丙型肝炎
C盤	C磁碟機
C群流腦	流行性腦脊髓膜炎（C型）
DK范式	DK規格化
D型流感	丁型流感
D型肝炎	丁型肝炎
D盤	D磁碟機
E型肝炎	戊型肝炎
E盤	E磁碟機
F型肝炎	己型肝炎
F盤	F磁碟機
Google云消息傳遞	Google雲端通訊
Google工具條	Google工具列
Google文檔	Google文件
Google視頻	Google影片
GSM移動	GSM流動
GSM行動	GSM流動
G型肝炎	庚型肝炎
G盤	G磁碟機
H1N1新型流感	人類豬型流感
H盤	H磁碟機
I盤	I磁碟機
Java的類	Java的類別
Java類	Java類別
J盤	J磁碟機
K盤	K磁碟機
L盤	L磁碟機
M盤	M磁碟機
Northern印跡	北方印跡
N盤	N磁碟機
O盤	O磁碟機
P盤	P磁碟機
Q盤	Q磁碟機
R盤	R磁碟機
SARS	沙士
Southern印跡	南方印跡
Sun微系統	太陽電腦
S盤	S磁碟機
T盤	T磁碟機
USB隨身碟	USB手指
U盤	USB手指 USB磁碟機 U磁碟機
V盤	V磁碟機
Western印跡	西方印跡
W盤	W磁碟機
X盤	X磁碟機
X窗口系統	X視窗系統
Y盤	Y磁碟機
Z盤	Z磁碟機
μ中微子	緲中微子
μ子	緲子
τ中微子	陶中微子
τ子	陶子
一致收斂	均勻收斂
一致有界性原理	均勻有界原理
一致空間	均勻空間
一致范數	均勻範數
一致連續	均勻連續
一致鄰域	均勻鄰域
一補數	一補碼
三元搜尋樹	三叉搜尋樹
三元樹	三叉樹
三分律	三一律
三叉搜索樹	三叉搜尋樹
三叉鏈表	三元連結串列
三維計算機	3D電腦
三維計算機圖形	3D電腦圖形
三維電影	3D電影
三角蛛屬	扇網蛛屬
三酰甘油	甘油三酸酯
三酸甘油酯	甘油三酸酯
上下文切換	上下文交換
上同倫	餘倫
上同調	餘調
上網本	NetBook
上鏈	餘鍵
下划線	底線
下拉列表	下拉式清單
下拉菜單	下拉式選單
不交并	互斥併集
不偏	無偏
不活化	滅活
世界移動通信大會	世界流動通訊大會
世界行動通訊大會	世界流動通訊大會
丟失	遺失
丟擲	投擲
中國海大銼蛤	大黃狐蛤
中央前迴	中央前回
中央后回	中央後回
中央後迴	中央後回
中央極限定理	中心極限定理
中微子	微中子
中性粒細胞	嗜中性顆粒白血球
中端	中階
中級	中階
中華石龍尾	紫蘇草
中間件	中介軟體
中隔缺損	間隔缺損
丰富互聯網應用程序	多樣化互聯網應用程式
丰度	豐度
串口	序列埠
串行端口	序列埠
串行計算	序列計算
主元	軸元
主存	主記憶體
主引導記錄	主開機紀錄
主板	主機板
主頁	首頁
乘法表	乘數表
乙酰水楊酸	乙醯柳酸
事前分布	先驗分布
事前機率	先驗概率
事後分布	後驗分布
事後機率	後驗概率
二元堆積	二叉堆積
二元搜尋樹	二叉搜尋樹
二元樹	二叉樹
二叉堆	二叉堆積
二叉搜索樹	二叉搜尋樹
二叉鏈表	二元連結串列
二噁英	戴奧辛
二極管	二極體
二次域	二次體
二甲硝咪唑	待美嘧唑
二維碼	二維條碼
二補數	二補碼
云存儲	雲端儲存
云計算	雲端運算
互余	互餘
互信息	相互資訊
互斥或	異或
互斥聯集	互斥併集
互素	互質
互聯網內容提供商	互聯網內容供應商
互聯網服務提供商	互聯網服務供應商
互變異搆體	互變異構體
互變異構物	互變異構體
亞佛加厥	阿佛加德羅
亞佛加厥常數	阿佛加德羅常數
交互	互動
交互作用	相互作用
交叉共變數	互協方差
交叉韌帶	十字韌帶
亥維賽	黑維塞
亮氨酰	白氨醯
亮氨酸	白氨酸
人工智慧	人工智能
人工神經	類神經
人機界面	人機介面
人臉識別	人面辨識
仁蚧科	仁介殼蟲科
介孔二氧化硅	中孔洞二氧化矽
介孔氧化硅	中孔洞氧化矽
介質	媒介
介質相關接口	媒體相依介面
代數封閉域	代數封閉體
代數無關	代數獨立
代數相關	代數相依
代數閉域	代數閉體
代碼生成器	碼產生器
代管	寄存
令牌	權杖
以太網	乙太網路
仲碳	二級碳
仲胺	二級胺
仲醇	二級醇
任務切換	工作切換
任務欄	工作列
任務管理器	工作管理員
企業移動管理	企業行動管理
伊維菌素	愛滅蟲
伊辛	易辛
休克耳	休克爾
伯克利軟件套件	柏克萊軟件套件
伯努利	白努利
伯碳	一級碳
伯胺	一級胺
伯醇	一級醇
伴性遺傳	性聯遺傳 性連鎖遺傳
伴細胞	伴胞
伽羅瓦域	伽羅瓦體
伽馬	伽瑪
位串	位元串
位圖	點陣圖
位址	地址
位操作	位元運算
位模式	位元型樣
位段	位元欄
低畫質	低清
低端	低階
低級	低階
低級編程語言	低階程式語言
低級語言	低階語言
余代數	餘代數
余像	餘像
余單純	餘單純
余因子	餘因子
余核	餘核
余極限	餘極限
余模	餘模
余法叢	餘法叢
余矢	餘矢
余緯度	餘緯度
作業研究	運籌學
佯謬	悖論
使用者	用户
使用者介面	用户介面
使用者供應內容	用户生成內容
使用者名稱	用户名
使用者方塊	用户框
使用者群組	用户組
使用者頁面	用户頁
例程	常式
依存類型	依存型別
依賴類型	依值型別
便攜式	可攜式
便攜版	可攜式版本
係數	系數
促進性擴散	易化擴散
俄歇	奧杰
信心水準	置信水平
信息	訊息 資訊
信息及通信技朮	資訊及通訊科技
信息學	資訊科學
信息安全	資訊安全
信息技朮	資訊科技
信息接觸	資訊參與
信息時代	資訊年代
信息物理系統	網宇實體系統
信息產業	資訊工業
信息管理	資訊管理
信息過載	資訊超載
信號	訊號
信號識別顆粒	信號識別粒子
信號量	訊號量
信賴區間	置信區間
修制	修製
修飾符	修飾詞
個人數位助理	個人數碼助理
個人網	個人區域網路
個木虱科	叉木蝨科
假石柑	假柚葉藤
假石柑屬	假柚葉藤屬
假設檢驗	假設檢定
假說檢定	假設檢定
偏好設定	參數設置
偏脹蚶	鞋魁蛤
做了功	作了功
做功	作功
做勻速圓周運動	作等速率圓周運動
做勻速直線運動	作等速直線運動
做勻速運動	作等速運動
做正功	作正功
做的功	作的功
做變速圓周運動	作變速率圓周運動
做負功	作負功
偽狂犬病	假性狂犬病
偽體染色體區	擬常染色體區
傅利曼	佛利民
傅里葉	傅立葉
傘花茉欒藤	繖花菜欒藤
備擇假設	對立假設
傳感器	感測器
傳簡訊	傳短訊
傳遞	遞移
優化	最佳化
元分析	統合分析
元編程	元程式設計 超程式設計
元資料	元數據
兆字節	百萬位元組
光學異搆體	旋光異構體
