上伏塔	上沃爾特
上哈爾茨	上哈茲
上哈茨	上哈茲
上奧地利邦	上奧地利州
上沃爾特	上伏塔
下奧地利邦	下奧地利州
下薩克森邦	下薩克森州
不來梅	不萊梅
不來梅哈芬	不萊梅港
不來梅州	不萊梅州
不倫瑞克	賓士域
不列顛哥倫比亞	卑詩
丹地	登地
丹帕沙	登巴薩
主權基地區	主權根據地區
乍得	查德
亞他加馬	阿他加馬
亞伯丁	鴨巴甸
亞克羅提利	德基利亞 阿克魯帝利
亞克羅提利和德凱利亞	阿克魯帝利及德基利亞
亞克羅提利與德凱利亞	阿克魯帝利及德基利亞
亞塞拜然	阿塞拜疆
亞拉倫拉	雅拉倫拉
亞拉岡	阿拉貢
亞本塞	阿彭策爾
亞森欣	阿森松
亞歷山卓	亞歷山大港
亞沃利夫	亞沃里夫
亞爾薩斯	阿爾薩斯
亞特蘭大	阿特蘭大
亞琛	阿亨
亞穆蘇克羅	雅穆索戈
亞細安	東盟
亞細安組織	東南亞國家聯盟
亞維農	阿維尼翁
亞辛	雅欣
亞速群島	亞速爾羣島
亞雅	葉海亞
亞馬孫	亞馬遜
京斯惇	京士頓
京斯頓	京士惇 京士頓
什切青	斯塞新
什列斯威	石勒蘇益格
什勒斯維希	石勒蘇益格
什未林	施威林
什羅普	史樂
什霍邦	石荷州
什魯斯伯里	梳士貝利
伊令	伊靈
伊凡諾	伊萬諾
伊利諾伊	伊利諾
伊卡盧伊特	伊魁特
伊布拉欣	易卜拉欣
伊斯坦布爾	伊斯坦堡
伊斯林頓	伊斯靈頓
伊斯梅爾	依斯邁
伊斯蘭瑪巴德	伊斯蘭堡
伊普斯威奇	葉士域治
伊普斯維奇	葉士域治
伊比利	伊比利亞
伊洛伊洛	依路
伊珀爾	伊伯
伊瓦諾	伊凡
伊納姆克洛	伊南克洛
伊莉莎白港	伊利沙伯港
伊萬諾	伊凡
伊麗莎白港	伊利沙伯港
伍利奇	胡列治
伍德蘭	森林地
伍斯特	窩士打
伍爾弗漢普頓	和夫咸頓
伍玆	活士
伍珀塔爾	烏帕塔爾
伍珀河	烏帕河
伏伊伏丁那	禾獲甸拿
伏林	沃倫
休倫	曉倫
休士頓	侯斯頓
休斯惇	侯斯頓
休斯頓	侯斯頓
伯克利	柏克萊
伯利玆	伯利茲
伯恩	伯爾尼
伯恩利	般尼
伯恩茅斯	般尼茅夫
伯恩賽德	濱世
伯斯	巴富 珀斯
伯明罕	伯明翰
伯班克	柏本克
伯立克	巴域
伯靈頓	布靈頓
佛伊弗迪納	禾獲甸拿
佛德州	沃州
佛拉蒙	弗拉芒
佛羅倫薩	佛羅倫斯
佛茨海姆	普福爾茨海姆
佛萊明	弗拉芒
佛蘭德	法蘭德斯
佩格尼茨	佩格尼茲
佩納姆	卑尼咸
佩萊利烏	佩里琉 貝里琉
依布拉欣	易卜拉欣
侯賽因	胡先
侯賽因·奥恩	胡先翁
俄克拉荷馬	奧克拉荷馬
俄克拉荷馬城	奧克拉荷馬城
倫巴第	倫巴底
倫弗魯	聯福
倫惇城	倫惇市
傑克孫維	積遜威爾
傑克森	積遜
先吉列伊	森吉列伊
克利福洛	克里沃羅格
克拉倫斯	嘉蘭士
克拉倫斯公園	嘉蘭士柏
克拉勒姆	克拉蘭
克拉珀姆	嘉立咸
克珀尼克	哥本尼克
克羅伊登	歌來頓
克羅伊茨貝格	十字山
克羅埃西亞	克羅地亞
克萊姆	嘉立咸
克萊德	佳德
克赤	刻赤
克里奧爾語	歸融語
克雷費爾徳	克雷費德
