万·阿齐扎	旺阿兹莎
万茂	蒙茅斯
万象	永珍
万那杜	瓦努阿图
三兰港	达累斯萨拉姆
三投斯将军市	桑托斯将军城
三藩市	旧金山
上伏塔	上沃尔特
上哈兹	上哈尔茨 上哈茨
上奥地利邦	上奥地利州
上荷兰	艾霍兰
下奥地利邦	下奥地利州
下萨克森邦	下萨克森州
不列颠哥伦比亚	卑诗
不来梅	不莱梅
不来梅州	不莱梅州
不莱梅	不来梅
不莱梅港	不来梅哈芬
东加	汤加
东协	东盟
东南亚国家协会	东南亚国家联盟
东古	东姑
东古·阿卜杜勒·拉赫曼	东姑阿都拉曼
东咸	东汉姆
东哥德	东哥特
东姑·阿布都拉曼	东姑阿都拉曼
东宝庭	邓巴顿
东罕	东汉姆
丹地	邓迪
丹帕沙	登巴萨
主权根据地区	主权基地区
乃磨	纳奈莫
义净礁	艾肯礁
义属	意属
义属利比亚	意属利比亚
义属索马利	意属索马里
乌兹别克	乌兹别克斯坦
乌姆	乌尔姆
乌帕塔	伍珀塔尔
乌帕塔尔	伍珀塔尔
乌帕河	伍珀河
乌德勒支	乌得勒支
乌普顿	厄普顿
乌格尔	乌赫尔
乌格都古	瓦加杜古
乌特勒支	乌得勒支
乌隆地	乌隆迪
乔拔顿	吉尔伯顿
乔治亚	格鲁吉亚
乔治亚州	佐治亚州
乔治城	乔治敦
亚丰素克劳迪乌	阿方索克劳迪乌
亚什摩及卡地尔	阿什莫尔和卡捷
亚他加马	阿塔卡马
亚伯丁	阿伯丁
亚伯达	艾伯塔 阿尔伯塔
亚克罗提利与德凯利亚	亚克罗提利和德凯利亚 阿克罗蒂里和泽凯利亚
亚博斯福	阿伯茨福德
亚历山卓	亚历山大港
亚厘毕	阿尔伯特
亚塞拜然	阿塞拜疆
亚士霍	阿什福德
亚奎丹	阿基坦
亚尔	阿尔勒
亚尔丁	阿登
亚尔丁森林	阿登森林
亚尔萨斯	阿尔萨斯
亚拉冈	阿拉贡
亚本塞	阿彭策尔
亚森欣	阿森松
亚沃利夫	亚沃里夫
亚皆老	阿盖尔
亚省	阿省
亚细安	东盟
亚细安组织	东南亚国家联盟
亚维农	阿维尼翁
亚辛	雅欣
亚速群岛	亚速尔群岛
亚雅	耶也 耶哈也
亚雅	雅也 雅耶
亚马逊	亚马孙
些路士	塞尔西
京士敦	金斯敦
京士顿	金斯敦 金斯顿
京斯敦	金斯敦
京斯顿	金斯敦 金斯顿
什列斯威	石勒苏益格
什勒斯维希	石勒苏益格
什文福	施韦因富特
什霍邦	石荷州
伊令	伊灵
伊伯	伊珀尔
伊凡	伊万诺
伊凡诺	伊万诺
伊利沙伯港	伊丽莎白港
伊利诺	伊利诺伊
伊利近	埃尔金
伊南克洛	伊纳姆克洛
伊布拉欣	依布拉欣
伊斯兰玛巴德	伊斯兰堡
伊斯坦布尔	伊斯坦堡
伊斯林顿	伊斯灵顿
伊斯梅尔	依斯迈
伊普斯威奇	伊普斯维奇
伊比利	伊比利亚
伊瓦诺	伊万诺
伊莉莎白港	伊丽莎白港
伊萨	艾萨
伊萨山	芒特艾萨
伊魁特	伊卡卢伊特
伏林	沃伦
休士顿	休斯敦 休斯顿
休斯敦	休斯顿
优胜美地	约塞米蒂
伦巴底	伦巴第
伦敦城	伦敦市
伦达省	隆达省
伯恩	伯尔尼
伯斯	珀斯
伯明罕	伯明翰
佐治	乔治
佐治城	乔治敦
佐治河	乔治斯河
佛伊弗迪纳	伏伊伏丁那
佛兰德	法兰德斯
佛德州	沃州
佛拉蒙	弗拉芒
佛日	孚日
佛立堡	弗里堡
佛罗伦斯	佛罗伦萨
佛罗西罗内	弗罗西诺内
佛茨海姆	普福尔茨海姆
佛莱明	弗拉芒
佛莱辛	富尔达
佛里乌利	弗留利
佛雷斯诺	弗雷斯诺
佩格尼兹	佩格尼茨
佩里琉	佩莱利乌
佳德	克莱德
侏罗	汝拉
侏罗山	汝拉山
侏罗岛	朱拉岛
侏罗州	汝拉州
依路	伊洛伊洛
侨福	吉尔福德
侯城	赫尔河畔金斯敦
侯斯顿	休斯敦 休斯顿
侯河	赫尔河
侯赛因	胡先
侯赛因·奥恩	胡先翁
俄福	奥福德
保顿	博尔顿
修咸顿	南安普敦
修夫基	索斯盖特
修打兰	萨瑟兰
修适士	萨塞克斯
光星仔礁	乌比乌比礁
光星礁	拉亚礁
克利福洛	克里沃罗格
克拉兰	克拉勒姆
克罗埃西亚	克罗地亚
克莱姆	克拉珀姆
克赤	刻赤
克雷费德	克雷费尔德
克马得	克马德克
党近	邓肯
兰休特	兰茨胡特
兰加士打	兰开斯特
兰卡斯特	兰开斯特
兰秀	拿骚
兵基兰	布灵厄兰
兹威考	茨维考
兹维考	茨维考
兹辛瓦利	茨欣瓦利
兹锡	奇司威克
兼士比	格里姆斯比
内政和家园部	内政和国土部
内罗比	内罗毕
冲北岩	北屿
冲南岩	南屿
几内亚比索	几内亚比绍
凡登广场	旺多姆广场
凤凰群岛	菲尼克斯群岛
凯可	凯科斯
凯撒劳顿	凯撒斯劳滕
凯沙罗顿	凯撒斯劳滕
切尔诺贝尔	切尔诺贝利
切斯特勒街	切斯特勒斯特里特
切柏咸	奇彭纳姆
列支敦斯登	列支敦士登
列斯	利兹
列斯伏斯	莱斯沃斯
列治	列日
列治文	里士满
列辛	莱西讷
利乐汉玛	利勒哈默尔
利华古逊	勒沃库森
利哈佛	勒阿弗尔
利奇菲	利奇菲尔德
利恩兹	利恩茨
利曼	勒芒
利维夫	利沃夫
利载拿	里贾纳
利隆威	利隆圭
利雅德	利雅得
剑顿	卡姆登
加彭	加蓬
加拉巴哥群岛	科隆群岛
加拉帕戈斯群岛	科隆群岛
加拿分	卡纳温 卡那封
加沙走廊	加沙地带
加法尔	嘉化 嘉法
加法尔	惹化 惹法 查化
加法尔·巴巴	嘉化峇峇
加泰隆尼亚	加泰罗尼亚
加的夫	卡迪夫
加莱	加来
加莱海峡	加来海峡
加萨	加沙
加萨走廊	加沙地带
努拿乌特	努纳武特
努瓜娄发	努库阿洛法
努纳福特	努纳武特
劳动及社会事务部	劳工和社会保障部
勒哈弗尔	勒阿弗尔
勒布尔热	勒布尔歇
勒西菲	累西腓
包奇亚	波基亚
北卡罗莱纳	北卡罗来纳
北安普敦	北安普顿
北安礁	里东礁
北康暗沙	拉惹加隆浅滩
北韩离脱住民定著支援事务所	北韩离脱住民定着支援事务所
匹黎可	皮姆利科
匹黎哥	皮姆利科
十三殖民地	十三个殖民地
十字山	克罗伊茨贝格
千橡	绍曾德奥克斯
千里达及托巴哥	特立尼达和多巴哥
千里达和多巴哥	特立尼达和多巴哥
华亚度列	巴利亚多利德
华伦	沃伦
华伦西亚	瓦伦西亚
华加华加	瓦加瓦加
华威	沃里克
华斯卡拿	瓦斯卡纳
华杜兹	瓦杜兹
华生维尔	沃森维尔
华素尔	沃尔索尔
华维斯湾	鲸湾港
华隆	瓦隆
华隆尼亚	瓦隆尼亚
卑尼咸	佩纳姆
卑诗	不列颠哥伦比亚
卓特咸	切尔滕纳姆
南三文治	南桑威奇
南乔治亚与南桑威奇群岛	南乔治亚和南桑威奇群岛
南佐治亚	南乔治亚
南佐治亚及南三文治群岛	南乔治亚和南桑威奇群岛
南北韩首脑会谈	南北韩首脑会晤
南北韩高峰会	南北韩首脑会晤
南卡罗莱纳	南卡罗来纳
南大河州	南里奥格兰德州
南奥塞提亚	南奥塞梯
南安礁	海马礁
南屏礁	哈义礁
南康暗沙	巴丁宜阿里浅滩
南海	南中国海
南海礁	曼达纳尼礁
南海礁岛	南中国海礁岛
南海礁岩	南中国海礁岩
南海礁石	南中国海礁石
南海礁群	南中国海礁群
南澳	南澳大利亚
南澳州	南澳大利亚州
南里约格兰州	南里奥格兰德州
博尔基亚	波基亚
占士	詹姆斯
卡加利	卡尔加里
卡加烟	卡加延
卡卡颂	卡尔卡松
卡地夫	加的夫 卡迪夫
卡尔斯鲁尔	卡尔斯鲁厄
卡布里	卡普里
卡托维治	卡托维兹
卡拉卡斯	加拉加斯
卡斯提亚	卡斯蒂利亚
卡斯翠	卡斯特里
卡斯鲁厄	卡尔斯鲁厄
卡林西亚	克恩顿
卡林西亚邦	克恩顿州
卡瑟尔	卡塞尔
卡米尔海	卡梅尔海
卡素加	卡斯尔加
卡纳封	卡纳温
卡纳维尔角	卡纳维拉尔角
卡纳芬	卡纳温 卡那封
卡路什	卡卢什
卡达	卡塔尔
卡迪夫	加的夫
卡迪斯	加的斯
卡那封	卡纳温
卡那封温	卡纳温
卡马斯	卡默斯
卢安达	卢旺达
卢昂	鲁昂
卢比安纳	卢布尔雅那
印威内斯	因弗内斯
印度教	兴都教
危地马拉市	危地马拉城
厄利垂亚	厄立特里亚
厄顿	阿克顿
古拉索	库拉索
古斯塔维亚	居斯塔维亚
可伦坡	哥伦坡
台夫特	代尔夫特
史丹佛	斯塔福德
史丹福	斯坦福
史乐	什罗普
史云斯	斯旺西
史云顿	斯温登
史卓咸	斯特里汉姆
史塔克顿	斯托克顿
史密斯菲	史密斯菲尔德
史托蒙特	斯托蒙特
史提芬纳治	斯蒂夫尼奇
史普利特	斯普利特
史普雷	施普雷
史泰克方丹	斯泰克方丹
史泰利亚	施蒂里亚
史泰利亚邦	施蒂里亚州
史泰尔马克	施泰尔马克
史泰尔马克邦	施泰尔马克州
史泰格利兹	施泰格利茨
史特加	斯图加特
史特拉斯堡	斯特拉斯堡
史特拉福	斯特拉特福
史特拉颂	施特拉尔松德
史特灵	斯特灵
史瓦帝尼	斯威士兰
史笃城	斯托克城
史考兹谷	斯科茨谷
史葛斯谷	斯科茨谷
史蒂文纳吉	斯蒂夫尼奇
史高比耶	斯科普里
叶士域治	伊普斯维奇
叶海亚	耶也 耶哈也
叶海亚	雅也 雅耶
叶里温	埃里温
叶门	也门
司徒加特	斯图加特
吉佳利	基加利
吉尔吉斯	吉尔吉斯斯坦
吉布地	吉布提
吉里巴斯	基里巴斯
吐瓦鲁	图瓦卢
吐芬奴	托菲诺
吕北克	吕贝克
吕北克汉萨自由市	吕贝克汉萨自由市
告罗士打	格洛斯特
和域	沃里克
和夫咸顿	伍尔弗汉普顿
咸美顿	哈密尔顿 汉密尔顿
咸顿	汉普顿
咸默史密夫	哈默史密斯
哈修塔特	哈尔施塔特
哈兹	哈尔茨
哈兹山	哈茨山
哈利姆	哈林
哈利法斯	哈利法克斯
哈勒	哈雷
哈勒贝克	哈勒尔贝克
哈吉	哈芝
哈姆雷特塔	陶尔哈姆莱茨
哈密德	哈密
哈德斯菲	哈德斯菲尔德
哈德逊	哈德森
哈桑	哈山
哈桑纳尔	哈山纳
哈梅恩	哈默尔恩
哈洛	哈罗
哈特斯菲	哈德斯菲尔德
哈特福	哈特福德 赫特福德
哈米德	哈密
哈米迪	哈密迪
哈萨克	哈萨克斯坦
哈非尔河	哈弗尔河
哥利兹	格尔利茨
哥多华	科尔多瓦
哥德人	哥特人
哥德字母	哥特字母
哥德式	哥特式
哥德语	哥特语
哥德风	哥特风
哥打列治	戈德里奇
哥斯大黎加	哥斯达黎加
哥本尼克	克珀尼克
哥特堡	哥德堡
哲林根	策林根
唐卡士打	唐卡斯特
唐桥井	坦布里奇韦尔斯
喀拉哈里沙漠	卡拉哈里沙漠
喀斯开	喀斯喀特
喜士定	黑斯廷斯
嘉兰士	克拉伦斯
嘉兰士柏	克拉伦斯公园
嘉弘	卡文
嘉拿多	科罗纳多
嘉林边	格兰扁
嘉柏隆里	哈博罗内
嘉立咸	克拉珀姆
嘉芙莲	凯瑟琳
因努伊特	因纽特
因戈施塔特	英戈尔施塔特
图林根邦	图林根州
图翁巴	图文巴
土亚莫土	土阿莫土
土克	特克斯
土克凯可	特克斯和凯科斯
土克凯可群岛	特克斯和凯科斯群岛
土奈	图尔奈
土尔沙	塔尔萨
土库曼	土库曼斯坦
土桑	图森
土鲁斯	图卢兹
圣伊天	圣艾蒂安
圣伯纳迪诺	圣贝纳迪诺
圣佑达修斯	圣尤斯特歇斯
圣体市	科珀斯克里斯蒂
圣何塞	圣荷西
圣何西	圣何塞 圣荷西
圣克里斯多福及尼维斯	圣基茨和尼维斯
圣占士	圣詹姆斯
圣地亚哥	圣迭戈
圣地牙哥	圣地亚哥 圣迭戈
圣塔克拉拉	圣克拉拉
圣塔菲	圣菲
圣多明哥	圣多明各
圣多美普林西比	圣多美和普林西比
圣巴瑟米	圣巴泰勒米
圣帕尔滕	圣珀尔滕
圣帕布罗	圣巴勃罗
圣彼得	圣彼得斯
圣德田	圣艾蒂安
圣文森及格瑞那丁	圣文森特和格林纳丁斯
圣楚登	圣特赖登
圣波尔坦	圣珀尔滕
圣海伦娜	圣赫勒拿
圣海莲娜	圣赫勒拿
圣班纳甸奴	圣贝纳迪诺
圣皮耶	圣皮埃尔
圣皮耶与密克隆	圣皮埃尔和密克隆
圣罗伦斯	圣劳伦斯
圣罗沙	圣罗莎
圣老楞佐	圣劳伦斯
圣荷西	圣何塞
圣詹姆士	圣詹姆斯
圣路易斯	圣路易
圣达菲	圣菲
圣非	圣菲
圣马刁	圣马特奥
圣马利诺	圣马力诺
圭内斯	格温内斯
坎埃克吕斯	戛纳埃克吕斯
坎城	康城
坎培拉	堪培拉
坎特伯里	坎特伯雷
坎贝尔河	坎贝尔里弗
坎达哈	坎大哈
坚伯威	坎伯韦尔
坦尚尼亚	坦桑尼亚
坦布里治威尔斯	坦布里奇韦尔斯
坦干伊加	坦噶尼喀
坦米尔	泰米尔 淡米尔
埃及阿拉伯共和国	阿拉伯埃及共和国
埃因霍温	艾恩德霍芬
埃朗根	埃尔朗根
域斯咸	雷克瑟姆
域治	维奇
域菲	韦克菲尔德
域菲路	韦克菲尔德
培亚	普拉亚
基尔福	吉尔福德
基度山	基督山
