128位元	128位
12位元	12位
16位元	16位
18位元	18位
2009年H1N1新型流感疫情	2009年H1N1流感大流行
2009年人类猪型流感疫情	2009年H1N1流感大流行
2019冠状病毒病	2019冠状病毒疾病
24位元	24位
31位元	31位
32位元	32位
36位元	36位
3D电影	三维电影
3D电脑	三维计算机
3D电脑图形	三维计算机图形
48位元	48位
4位元	4位
60位元	60位
64位元	64位
80位元	80位
8位元	8位
A型流感	甲型流感
A型肝炎	甲型肝炎
A磁碟机	A盘
BC正规形式	BC范式
B型流感	乙型流感
B型肝炎	乙型肝炎
B磁碟机	B盘
CP值	性价比
C型流感	丙型流感
C型肝炎	丙型肝炎
C磁碟机	C盘
DK规格化	DK范式
D型流感	丁型流感
D型肝炎	丁型肝炎
D磁碟机	D盘
E型肝炎	戊型肝炎
E磁碟机	E盘
F型肝炎	己型肝炎
F磁碟机	F盘
Google云端通讯	Google云消息传递
Google工具列	Google工具条
Google影片	Google视频
Google文件	Google文档
GSM流动	GSM移动
GSM行动	GSM移动
GUID磁碟分割表	全局唯一标识分区表
G型肝炎	庚型肝炎
G磁碟机	G盘
H1N1新型流感	甲型H1N1流感
H磁碟机	H盘
I磁碟机	I盘
Java的类别	Java的类
Java类别	Java类
J磁碟机	J盘
K磁碟机	K盘
L磁碟机	L盘
M磁碟机	M盘
NetBook	上网本
N磁碟机	N盘
O磁碟机	O盘
Podcast	播客
P磁碟机	P盘
Q磁碟机	Q盘
R磁碟机	R盘
SanDisk	闪迪
SARS	沙斯
S磁碟机	S盘
T磁碟机	T盘
Ultrabook	超极本
USB手指	U盘
USB磁碟机	U盘
USB随身碟	U盘
U磁碟机	U盘
V磁碟机	V盘
W磁碟机	W盘
X磁碟机	X盘
X视窗系统	X窗口系统
Y磁碟机	Y盘
Z磁碟机	Z盘
一元函式	单参函数
一型糖尿病	1型糖尿病
一级碳	伯碳
一级胺	伯胺
一级醇	伯醇
一补数	反码
一补码	反码
三一律	三分律
三元搜寻树	三叉搜索树
三元树	三叉树
三元连结串列	三叉链表
三叉搜寻树	三叉搜索树
三级碳	叔碳
三级胺	叔胺
三级醇	叔醇
三酰甘油	三酸甘油酯
上下文交换	上下文切换
下拉式清单	下拉列表
下拉式选单	下拉菜单
不偏	无偏
不断电系统	电源保护
不活化	灭活
专案	项目
世界流动通讯大会	世界移动通信大会
世界行动通讯大会	世界移动通信大会
丛集	集群
东亚夜蛛	东方长蟱蛛
东方长妩蛛	东方长蟱蛛
丢掷	抛出
两生纲	两栖纲
严重急性呼吸系统综合征冠状病毒2	严重急性呼吸综合征冠状病毒2
严重急性呼吸系统综合症	严重急性呼吸道综合征
严重急性呼吸综合症冠状病毒2型	严重急性呼吸综合征冠状病毒2
严重急性呼吸道症候群	严重急性呼吸道综合征
严重急性呼吸道症候群冠状病毒2型	严重急性呼吸综合征冠状病毒2
严重特殊传染性肺炎	2019冠状病毒疾病
个人区域网路	个人网
个人数位助理	个人数码助理
中介软体	中间件
中央极限定理	中心极限定理
中孔洞二氧化矽	介孔二氧化硅
中孔洞氧化矽	介孔氧化硅
中尾突木虱属	瘦木虱属
中阶	中端 中级
串流加密法	流密码
串流媒体	流媒体
主平方根	算术平方根
主开机纪录	主引导记录
主机板	主板
主档名	文件主名
主记忆体	主存
么元素	幺元素
么半	幺半
么正	幺正
么正矩阵	酉矩阵
么正空间	酉空间
么正群	酉群
乘数表	乘法表
乙太网路	以太网
乙醯柳酸	乙酰水杨酸
乙醯胺酚	对乙酰氨基酚
乱数	随机数
乱流	湍流
事前分布	先验分布
事前机率	先验概率
事后分布	后验分布
事后机率	后验概率
二元函数	双参函数
二元堆积	二叉堆
二元搜寻树	二叉搜索树
二元树	二叉树
二元连结串列	二叉链表
二叉堆积	二叉堆
二叉搜寻树	二叉搜索树
二名法	双名法
二型糖尿病	2型糖尿病
二极体	二极管
二次体	二次域
二级碳	仲碳
二级胺	仲胺
二级醇	仲醇
二维条码	二维码
二补数	补码
二补码	补码
云端储存	云存储
云端运算	云计算
互余	互馀
互动	交互
互变异构物	互变异构体
互斥并集	不交并
互斥或	异或
互斥联集	不交并
互联网内容供应商	互联网内容提供商
互联网服务供应商	互联网服务提供商
互联网金钥交换	因特网密钥交换
互质	互素
亚佛加厥	阿伏伽德罗
亚佛加厥常数	阿伏伽德罗常量
交互作用	相互作用
交叉共变数	互协方差
交谈循序程式	通信顺序进程
交谈识别码	会话标识
产品金钥	产品密钥
亮大蚊	沼大蚊
人工智能	人工智慧
人工肺	体外膜氧合
人机介面	人机界面 脑机接口
人类猪型流感	甲型H1N1流感
人面辨识	人脸识别
仁介壳虫科	仁蚧科
仄腹蜡蝉科	颖蜡蝉科
介电强度	电介质强度
介面	接口
代数封闭体	代数封闭域
代数独立	代数无关
代数相依	代数相关
代数闭体	代数闭域
代理人导向程式设计	面向代理编程
代管	托管
企业行动管理	企业移动管理
休克耳	休克尔
传短讯	发简讯
传简讯	发简讯
传送	发送
伤心小栈	红心大战
伪体染色体区	拟常染色体区
伫列	队列
伴细胞	伴胞
伺服器	服务器
伺服器端	服务端
伺服器讯息区块	服务器消息块
伽玛	伽马
伽罗瓦体	伽罗瓦域
位元串	位串
位元型样	位模式
位元栏	位段
位元组	字节
位元运算	位操作
位元速率	比特率
位元错误率	比特误码率
位址	地址
位能	势能
低画质	低清
低阶	低端 低级
低阶程式语言	低级编程语言
低阶语言	低级语言
佑位元组	尧字节
体扩张	域扩张
体抑素	生长抑素
体染色体	常染色体
体细胞超突变	体细胞高频突变
体论	域论
余代数	馀代数
余伦	上同伦
余像	馀像
余单纯	馀单纯
余因子	馀因子
余极限	馀极限
余核	馀核
余模	馀模
余法丛	馀法丛
余矢	馀矢
余纬度	馀纬度
余调	上同调
余键	上链
佛利民	弗里德曼
佛雷洛夫	弗廖罗夫
作业研究	运筹学
作业系统	操作系统
作了功	做了功
作功	做功
作变速率圆周运动	做变速圆周运动
作正功	做正功
作的功	做的功
作等速率圆周运动	做匀速圆周运动
作等速直线运动	做匀速直线运动
作等速运动	做匀速运动
作负功	做负功
使用者	用户
使用者介面	用户界面
使用者供应内容	用户生成内容
使用者名称	用户名
使用者方块	用户框
使用者群组	用户组
使用者页面	用户页
例外处理	异常处理
依值型别	依赖类型
依存型别	依存类型
促效剂	激动剂
促进性扩散	易化扩散
保安软件	安全软件
信号识别粒子	信号识别颗粒
信心水准	置信水平
信赖区间	置信区间
修复记录	恢复记录
修补程式	补丁
修饰词	修饰符
假性狂犬病	伪狂犬病
假柚叶藤	假石柑
假柚叶藤属	假石柑属
假皂荚属	扁核木属
假设检定	假设检验
假说检定	假设检验
偏好设定	首选项
停止追踪	请勿追踪
傅利曼	弗里德曼
傅立叶	傅里叶
傅里德曼	弗里德曼
储存	存储
储存格	单元格
储存程序	存储程序
僵直性脊椎炎	强直性脊柱炎
元程式设计	元编程
元资料	元数据
兆位元组	太字节
光学异构物	光学异构体
光碟	光盘
光碟机	光盘驱动器
光纤分散式数据介面	光纤分布式数据接口
光纤分散式资料介面	光纤分布式数据接口
光纤网路终端	光网络终端
克卜勒	开普勒
克希荷夫	基尔霍夫
克柏兰	科普兰
克耳文	开尔文
克里斯多福	克里斯托费尔
克里福	克利福德
入口网站	门户系统 门户网站
入门系统	门户系统
入门网站	门户网站
全像	全息
全域	全局
全屏幕	全屏
全屏幕手机	全面屏手机
全录	施乐
全形	全角
全球暖化	全球变暖
全球流动通讯系统协会	全球移动通信系统协会
全球行动通讯系统协会	全球移动通信系统协会
全球资讯网	万维网
全球资讯网协会	万维网联盟
全萤幕	全屏
全萤幕手机	全面屏手机
八元树	八叉树
八芝兰竹	米筛竹
公地流动网路	公共陆基移动网
公用陆上行动网路	公共陆基移动网
兰屿姑婆芋	热亚海芋
共享软体	共享软件
共变异数	协方差
共用	共享
共用资料夹	共享文件夹
关联式资料库	关系数据库
内容传递网路	内容分发网络
内建	内置
内联网	内部网 内部网络
内视镜	内窥镜
内送流量备援容错机制	多宿主
内部网路	内联网 内部网 内部网络
再利用合成	补救合成
再利用路径	补救途径
写死	硬编码
军配飞虱科	扁蜡蝉科
冷次	楞次
冷融合	冷聚变
净力	合力
净外力	合外力
准则	判据
减毒性疫苗	减毒活疫苗
减毒性病毒	减毒活病毒
减活	减毒活
减活疫苗	减毒活疫苗
减活病毒	减毒活病毒
凝聚体	凝聚态
几丁质	甲壳素
凡得瓦	范德瓦耳斯
凡得瓦力	范德华力
凡得瓦方程式	范德华方程
凡得瓦键	范德华键
凡特荷夫	范托夫
凭证	证书
函式	函数
函式程式语言	函数编程语言
函式语言程式设计	函数式编程
刀蛏属	剑蛏属
刀锋伺服器	刀片服务器
分割区	分区
分割压缩	分卷压缩
分圆体	分圆域
分散式	分布式
分裂体	分裂域
分页	标签页
切伦科夫	切连科夫
切应力	剪应力
切线束	切丛
列举	枚举
列举元	枚举器 枚举成员
列印	打印
刘维定理	刘维尔定理
初级主动运输	原发性主动运输
利他能	利他林
利牟芋属	崖角藤属
刺胳针	柳叶刀
刺针	柳叶刀
刺革菌	锈革孔菌
刽客	溃客
剖析器	分析器
剖腹	剖宫
剪下	剪切
剪贴簿	剪贴板
副档名	扩展名 文件扩展名
副甲状腺	甲状旁腺
副甲状腺激素	甲状旁腺激素
副甲状腺素	甲状旁腺激素
功能型手机	功能手机
功能电话	功能手机
加强剂	加强针
加护病房	重症监护室
动区	能层
动圈	能层
动态型别	动态类型
动态系结	动态绑定
动态系统	动力系统
动态编码率	可变码率
劳仑兹	洛伦兹
劳仑次	洛伦茨
勒壤得	勒让德
勒壤得转换	勒让德变换
勒沙特列	勒夏特列
勾点	钩子
勾股定理	毕氏定理
勾股数	毕氏数
包立	泡利
包量	左矢
化学亲合势	化学亲和势
化学亲和力	化学亲和势
北方印迹	Northern印迹
北方墨点	Northern印迹 北方印迹
匹配拉净	哌嗪
区块加密法	分组密码
区块链结	区块链接
区域网络	局域网
区域网路	局域网
医事放射师	放射技师
医疗观察	医学观察
十亿位元乙太网路	吉比特以太网
十字韧带	交叉韧带
升糖素	胰高血糖素
升阳电脑	Sun微系统
半形	半角
华生	沃森
协同运作	协作
协定	协议
单一登入	单点登录
单位元素	单位元
单位配置	分配单元
单体	单纯形
单体复形	单纯复形
单晶片	单片机
单核心	宏内核
单核球	单核细胞
单核白血球	单核细胞
单纯李氏群	单李群
单纯群	单群
单连结	单通道
南方印迹	Southern印迹
南方墨点	Southern印迹
南洋竹	吊丝球竹
博客	部落格
卜瓦松	泊松
卡氏带	凯氏带
卤炔	卤代炔 卤代炔烃
卤烯	卤代烯 卤代烯烃
卤烷	卤代烷 卤代烷烃
印表机	打印机
卵叶盐藻	喜盐草
卷动	滚动
卷动方块	滚动框
卷叶象鼻虫科	卷象科
卷轴	滚动条 滚动栏
压力	压强
压缩档	压缩包
厚角金龟科	隆金龟科
原型程式设计	基于原型的编程
原始档	源文件
原时	固有时
原生的	本地的
原生质丝	胞间连丝
原生质体内路径	共质体途径
原生质体内运输	共质体运输
原生质体外路径	质体外途径
原生质体外运输	质体外运输
去氢	脱氢
去氧	脱氧
去氧核糖	脱氧核糖
去氧羟四环霉素	多西环素 强力霉素 脱氧土霉素
去相干	退相干
去碘	脱碘
去辅基酶	脱辅基酶
参数列	参数列表 参数表
参数设置	首选项
参照	引用
叉木虱科	个木虱科
叉舌蛙科	叉舌蟾科
双氯恶唑西林	双氯西林
双连结	双通道
反元素	逆元
反曲点	拐点
反转录	逆转录
反链结	反链接
发短信	发简讯
发短讯	发简讯
取得	获取
取样率	采样率
受控代码	托管代码
受质	底物
受质级磷酸化	底物水平磷酸化
变动位元速率	可变码率
变叶姬旋花	毛山猪菜
变异数	方差
变数	变量
变构	别构
变速率圆周运动	变速圆周运动
