# Open Chinese Convert (OpenCC) Dictionary
# File: SealCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://www.unicode.org/Public/18.0.0/ucd/SealSources.txt (accessed 2026-09-18)
# Used in configs: seal2t.json; the reversed version (SealCharactersRev)
#   is used in t2seal.json and s2seal.json. Modern standard characters are bridged to the
#   values of this dictionary by SealVariants.txt.
# Derived from the kSEAL_MCJK property of the Unicode Character Database file
#   SealSources.txt (UAX #60). Keep the entries in line with kSEAL_MCJK; any
#   correction should cite the UCD data.
# Deviation from kSEAL_MCJK: U+3D06D (說文 玉, radical 6) is mapped to 玉
#   instead of 王 (U+738B), which would collide with U+3D068 (說文 王).
# Each key is a Small Seal character from the Seal block introduced in
#   Unicode 18.0 (U+3D000..U+3FC3F). The value is its modern CJK equivalent,
#   i.e. the regular-script (楷書) form of the 說文解字 headword or 重文 that
#   the Small Seal character encodes.
# When several Small Seal characters share one modern equivalent, the
#   reversed dictionary lists them in code point order, so the 說文解字
#   headword normally precedes its 重文 variants. The @reverse-prefer lines
#   below promote a later code point when it is attested in more source
#   editions (kSEAL_THXSrc main sequence, kSEAL_CCZSrc, kSEAL_QJZSrc,
#   kSEAL_DYCSrc) than the first one.

# Preferred Small Seal candidates for the reversed dictionary
# 叡 U+53E1 -> U+3DB79 (TH-02799 C-02895 K-02807 D-02784)
# @reverse-prefer: 叡 𽭹
# 𣀤 U+23024 -> U+3F8D6 (TH-09887 C-10254 K-09903 D-09886)
# @reverse-prefer: 𣀤 𿣖
# 歖 U+6B56 -> U+3E908 (TH-06091 C-06308 K-06100 D-06081)
# @reverse-prefer: 歖 𾤈
# 孌 U+5B4C -> U+3F4EA (TH-08938 C-09275 K-08888 D-08930)
# @reverse-prefer: 孌 𿓪

𽀀	一
𽀁	弌
𽀂	元
𽀃	天
𽀄	丕
𽀅	叓
𽀆	丄
𽀇	𠄞
𽀈	上
𽀉	帝
𽀊	𢂇
𽀋	㫄
𽀌	𣃟
𽀍	𣃙
𽀎	雱
𽀏	丅
𽀐	𠄟
𽀑	下
𽀒	示
𽀓	𥘅
𽀔	祜
𽀕	禮
𽀖	𠃞
𽀗	禧
𽀘	禛
𽀙	祿
𽀚	禠
𽀛	禎
𽀜	祥
𽀝	祉
𽀞	福
𽀟	祐
𽀠	祺
𽀡	禥
𽀢	祗
𽀣	禔
𽀤	𥛃
𽀥	𥚞
𽀦	祇
𽀧	祕
𽀨	𥚪
𽀩	𥜷
𽀪	𥛿
𽀫	𡫻
𽀬	禋
𽀭	祭
𽀮	祀
𽀯	禩
𽀰	祡
𽀱	𥚨
𽀲	禷
𽀳	祪
𽀴	祔
𽀵	祖
𽀶	𥛱
𽀷	祊
𽀸	祰
𽀹	祏
𽀺	䃾
𽀻	祠
𽀼	礿
𽀽	禘
𽀾	祫
𽀿	祼
𽁀	䄟
𽁁	祝
𽁂	𥛽
𽁃	祓
𽁄	祈
𽁅	禱
𽁆	𥙸
𽁇	𥜹
𽁈	禜
𽁉	禳
𽁊	禬
𽁋	禪
𽁌	禦
𽁍	𥙱
𽁎	禖
𽁏	𥚩
𽁐	祳
𽁑	祴
𽁒	禡
𽁓	禂
𽁔	𩦑
𽁕	𮪇
𽁖	社
𽁗	𥙭
𽁘	禓
𽁙	𥛆
𽁚	禍
𽁛	祟
𽁜	𥜱
𽁝	䄏
𽁞	祘
𽁟	禁
𽁠	𥜸
𽁡	禰
𽁢	𥛜
𽁣	祧
𽁤	祆
𽁥	祚
𽁦	三
𽁧	弎
𽁨	王
𽁩	𠙻
𽁪	閏
𽁫	𦤃
𽁬	皇
𽁭	玉
𽁮	𤣪
𽁯	𤪃
𽁰	瓘
𽁱	璥
𽁲	琠
𽁳	𤫕
𽁴	𤪢
𽁵	璠
𽁶	璵
𽁷	瑾
𽁸	瑜
𽁹	玒
𽁺	𤦃
𽁻	瓊
𽁼	璚
𽁽	瓗
𽁾	琁
𽁿	珦
𽂀	㻝
𽂁	珣
𽂂	璐
𽂃	瓚
𽂄	瑛
𽂅	璑
𽂆	珛
𽂇	玊
𽂈	璿
𽂉	𤩅
𽂊	叡
𽂋	𤫀
𽂌	球
𽂍	璆
𽂎	琳
𽂏	𤩹
𽂐	瑗
𽂑	𤪹
𽂒	璜
𽂓	琮
𽂔	琥
𽂕	瓏
𽂖	琬
𽂗	璋
𽂘	琰
𽂙	玠
𽂚	瑒
𽂛	瓛
𽂜	珽
𽂝	瑁
𽂞	㺺
𽂟	璬
𽂠	珩
𽂡	𤤏
𽂢	瑞
𽂣	珥
𽂤	瑱
𽂥	𦗁
𽂦	琫
𽂧	珌
𽂨	㻫
𽂩	璏
𽂪	瑵
𽂫	瑑
𽂬	珇
𽂭	𤪌
𽂮	璂
𽂯	璪
𽂰	瑬
𽂱	𤩈
𽂲	瓃
𽂳	𤪩
𽂴	玼
𽂵	𤪴
𽂶	𤩰
𽂷	瑩
𽂸	璊
𽂹	玧
𽂺	瑕
𽂻	琢
𽂼	琱
𽂽	理
𽂾	珍
𽂿	玩
𽃀	貦
𽃁	玲
𽃂	瑲
𽃃	玎
𽃄	琤
𽃅	瑣
𽃆	瑝
𽃇	瑀
𽃈	玤
𽃉	玪
𽃊	𤨙
𽃋	琚
𽃌	𬝽
𽃍	玖
𽃎	㺿
𽃏	珢
𽃐	𤦥
𽃑	璅
𽃒	璡
𽃓	㻸
𽃔	璁
𽃕	𤩭
𽃖	𤪍
𽃗	𤦼
𽃘	𤫉
𽃙	玽
𽃚	琂
𽃛	璶
𽃜	琟
𽃝	瑦
𽃞	𤩣
𽃟	璒
𽃠	㺨
𽃡	㺮
𽃢	𤥜
𽃣	瑎
𽃤	碧
𽃥	琨
𽃦	瑻
𽃧	珉
𽃨	瑤
𽃩	珠
𽃪	玓
𽃫	瓅
𽃬	玭
𽃭	蠙
𽃮	珕
𽃯	珧
𽃰	玟
𽃱	瑰
𽃲	璣
𽃳	琅
𽃴	玕
𽃵	𤥚
𽃶	珊
𽃷	瑚
𽃸	𤥗
𽃹	琀
𽃺	𤪎
𽃻	璗
𽃼	𤫊
𽃽	靈
𽃾	珈
𽃿	璩
𽄀	琖
𽄁	𤧪
𽄂	璫
𽄃	琲
𽄄	珂
𽄅	玘
𽄆	珝
𽄇	璀
𽄈	璨
𽄉	琡
𽄊	瑄
𽄋	珙
𽄌	玨
𽄍	瑴
𽄎	𤤻
𽄏	𨌥
𽄐	气
𽄑	氛
𽄒	雰
𽄓	士
𽄔	壻
𽄕	婿
𽄖	壯
𽄗	壿
𽄘	丨
𽄙	中
𽄚	𠁧
𽄛	𠁩
𽄜	𣃘
𽄝	屮
𽄞	屯
𽄟	每
𽄠	𡹆
𽄡	𦸕
𽄢	𥲮
𽄣	㞣
𽄤	芬
𽄥	圥
𽄦	𠒶
𽄧	𡽽
𽄨	艸
𽄩	莊
𽄪	𤖄
𽄫	蓏
𽄬	𦭩
𽄭	𦱥
𽄮	莆
𽄯	虋
𽄰	荅
𽄱	萁
𽄲	𧆑
𽄳	莥
𽄴	蓈
𽄵	稂
𽄶	莠
𽄷	萉
𽄸	𪎰
𽄹	芓
𽄺	䔬
𽄻	蘇
𽄼	荏
𽄽	䒨
𽄾	䔇
𽄿	𦮙
𽅀	䕬
𽅁	蓼
𽅂	䔃
𽅃	𦼫
𽅄	薇
𽅅	𦵨
𽅆	蓶
𽅇	菦
𽅈	䖆
𽅉	莧
𽅊	芌
𽅋	莒
𽅌	蘧
𽅍	菊
𽅎	葷
𽅏	蘘
𽅐	菁
𽅑	蘆
𽅒	𦻉
𽅓	𦭃
𽅔	茞
𽅕	薲
𽅖	藍
𽅗	藼
𽅘	蕿
𽅙	萱
𽅚	𦵡
𽅛	芎
𽅜	𧅓
𽅝	蘭
𽅞	葌
𽅟	葰
𽅠	芄
𽅡	虈
𽅢	蘺
𽅣	茝
𽅤	蘪
𽅥	薰
𽅦	𦺇
𽅧	萹
𽅨	𦯋
𽅩	藒
𽅪	𦼰
𽅫	芞
𽅬	苺
𽅭	茖
𽅮	苷
𽅯	芧
𽅰	藎
𽅱	蒁
𽅲	荵
𽅳	萇
𽅴	薊
𽅵	荲
𽅶	藋
𽅷	芨
𽅸	𦷱
𽅹	𦺒
𽅺	蓩
𽅻	薓
𽅼	䖂
𽅽	䓞
𽅾	荍
𽅿	𦶰
𽆀	萭
𽆁	荑
𽆂	𦯔
𽆃	𧃎
𽆄	苦
𽆅	菩
𽆆	𦺳
𽆇	茅
𽆈	菅
𽆉	蘄
𽆊	莞
𽆋	藺
𽆌	蒢
𽆍	蒲
𽆎	蒻
𽆏	𦸂
𽆐	蓷
𽆑	萑
𽆒	茥
𽆓	莙
𽆔	𦺊
𽆕	蒚
𽆖	苢
𽆗	蕁
𽆘	𧀷
𽆙	𧂇
𽆚	𦿓
𽆛	蓲
𽆜	䓢
𽆝	𦾮
𽆞	藷
𽆟	蔗
𽆠	𧂘
𽆡	𧀩
𽆢	𦬕
𽆣	萯
𽆤	芺
𽆥	𦱁
𽆦	𧅲
𽆧	莩
𽆨	蔩
𽆩	荓
𽆪	蕕
𽆫	荌
𽆬	藄
𽆭	莃
𽆮	𦿏
𽆯	蕧
𽆰	苓
𽆱	𧆐
𽆲	𧁰
𽆳	䔰
𽆴	葍
𽆵	蓨
𽆶	苖
𽆷	𦳝
𽆸	薁
𽆹	葴
𽆺	𧀦
𽆻	蓾
𽆼	𦳋
𽆽	蔞
𽆾	藟
𽆿	蒬
𽇀	茈
𽇁	𧂀
𽇂	萴
𽇃	蒐
𽇄	𦴛
𽇅	𧀳
𽇆	薜
𽇇	𦯌
𽇈	苞
𽇉	艾
𽇊	蔁
𽇋	芹
𽇌	薽
𽇍	蔦
𽇎	樢
𽇏	芸
𽇐	䔴
𽇑	葎
𽇒	茦
𽇓	𦯚
𽇔	葑
𽇕	薺
𽇖	莿
𽇗	蕫
𽇘	蘻
𽇙	𦺋
𽇚	芐
𽇛	芐
𽇜	薟
𽇝	蘞
𽇞	菳
𽇟	芩
𽇠	藨
𽇡	𧅖
𽇢	蔆
𽇣	𧅊
𽇤	芰
𽇥	茤
𽇦	薢
𽇧	茩
𽇨	芡
𽇩	𧂲
𽇪	𦶗
𽇫	蘥
𽇬	藗
𽇭	𦮺
𽇮	蒹
𽇯	薍
𽇰	𦵹
𽇱	菼
𽇲	薕
𽇳	薠
𽇴	䒢
𽇵	䓉
𽇶	芀
𽇷	𦱝
𽇸	䓿
𽇹	𧂄
𽇺	蓮
𽇻	茄
𽇼	荷
𽇽	蔤
𽇾	蕅
𽇿	蘢
𽈀	蓍
𽈁	菣
𽈂	𦸃
𽈃	莪
𽈄	蘿
𽈅	菻
𽈆	蔚
𽈇	蕭
𽈈	𦵒
𽈉	芍
𽈊	𧁄
𽈋	蔿
𽈌	䒞
𽈍	蘜
𽈎	蘠
𽈏	芪
𽈐	菀
𽈑	莔
𽈒	𦬸
𽈓	蓂
𽈔	菋
𽈕	荎
𽈖	藸
𽈗	葛
𽈘	蔓
𽈙	䔌
𽈚	莕
𽈛	荇
𽈜	䓷
𽈝	菨
𽈞	𧃣
𽈟	芫
𽈠	蘦
𽈡	蕛
𽈢	苵
𽈣	艼
𽈤	蔣
𽈥	苽
𽈦	𦱀
𽈧	藣
𽈨	䕼
𽈩	莨
𽈪	葽
𽈫	薖
𽈬	菌
𽈭	𧅸
𽈮	䓴
𽈯	葚
𽈰	蒟
𽈱	芘
𽈲	𧂌
𽈳	萸
𽈴	茱
𽈵	茮
𽈶	莍
𽈷	荆
𽈸	𦮓
𽈹	菭
𽈺	芽
𽈻	𦹩
𽈼	茁
𽈽	莖
𽈾	莛
𽈿	葉
𽉀	𦺶
𽉁	芣
𽉂	葩
𽉃	芛
𽉄	蘳
𽉅	𧄖
𽉆	英
𽉇	薾
𽉈	萋
𽉉	菶
𽉊	薿
𽉋	蕤
𽉌	葼
𽉍	䔟
𽉎	蒝
𽉏	莢
𽉐	𦬆
