# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
㑯	㑔
㑳	㑇
㑶	㐹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠉂 U+20242
㒓	㒓 𠉂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠟 U+2A81F
㓄	㓄 𪠟
㓨	刾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪟎 U+2A7CE
㔋	㔋 𪟎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠵 U+2A835
㖮	㖮 𪠵
㗲	𠵾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡛 U+2A85B
㗿	㗿 𪡛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠰱 U+20C31
㘉	㘉 𠰱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢌 U+2A88C
㘓	㘓 𪢌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫬐 U+2BB10
㘔	㘔 𫬐
㘚	㘎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝦 U+2B766
㛝	㛝 𫝦
㜄	㚯
㜏	㛣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝧 U+2B767
㜐	㜐 𫝧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡞋 U+2178B
㜗	㜗 𡞋
㜢	𡞱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡝠 U+21760
㜷	㜷 𡝠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪨊 U+2AA0A
㞞	㞞 𪨊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪩇 U+2AA47
㟺	㟺 𪩇
㠏	㟆
㠣	𫵷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪪑 U+2AA91
㢗	㢗 𪪑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢋈 U+222C8
㢝	㢝 𢋈
㥮	㤘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢛯 U+226EF
㦎	㦎 𢛯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢗓 U+225D3
㦛	㦛 𢗓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪫷 U+2AAF7
㦞	㦞 𪫷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪮃 U+2AB83
㨻	㨻 𪮃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪮋 U+2AB8B
㩋	㩋 𪮋
㩜	㨫
㩳	㧐
㩵	擜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪯋 U+2ABCB
㪎	㪎 𪯋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣘐 U+23610
㯤	㯤 𣘐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣗙 U+235D9
㰙	㰙 𣗙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣳆 U+23CC6
㵗	㵗 𣳆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪷍 U+2ADCD
㵾	㵾 𪷍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞛 U+2B79B
㶆	㶆 𫞛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤆢 U+241A2
㷍	㷍 𤆢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤈷 U+24237
㷿	㷿 𤈷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤎺 U+243BA
㸇	㸇 𤎺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞣 U+2B7A3
㹽	㹽 𫞣
㺏	𤠋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺻 U+2AEBB
㺜	㺜 𪺻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪼋 U+2AF0B
㻶	㻶 𪼋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪽮 U+2AF6E
㿖	㿖 𪽮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤻊 U+24ECA
㿗	㿗 𤻊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤽯 U+24F6F
㿧	㿧 𤽯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥁢 U+25062
䀉	䀉 𥁢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥅴 U+25174
䀹	䀹 𥅴
䁪	𥇢
䁻	䀥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥎝 U+2539D
䂎	䂎 𥎝
䃮	鿎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫀨 U+2B028
䅐	䅐 𫀨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫀬 U+2B02C
䅳	䅳 𫀬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁂 U+2B042
䆉	䆉 𫁂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁲 U+2B072
䉑	䉑 𫁲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥬀 U+25B00
䉙	䉙 𥬀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫂈 U+2B088
䉬	䉬 𫂈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥮜 U+25B9C
䉲	䉲 𥮜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁷 U+2B077
䉶	䉶 𫁷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𥺅 U+25E85
䊭	䊭 𥺅
䊷	䌶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄚 U+2B11A
䊺	䊺 𫄚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄜 U+2B11C
䋃	䋃 𫄜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄞 U+2B11E
䋔	䋔 𫄞
䋙	䌺
䋚	䌻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄩 U+2B129
䋦	䋦 𫄩
䋹	䌿
䋻	䌾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫄮 U+2B12E
䋼	䋼 𫄮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈓 U+26213
䋿	䋿 𦈓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈖 U+26216
䌈	䌈 𦈖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈘 U+26218
䌋	䌋 𦈘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈜 U+2621C
䌖	䌖 𦈜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈟 U+2621F
䌝	䌝 𦈟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈞 U+2621E
䌟	䌟 𦈞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈠 U+26220
䌥	䌥 𦈠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𦈙 U+26219
