一目瞭然	一目了然
七逕	七迳
上逕	上迳
上鍊	上链
不瞭解	不了解
么麼	幺麽
么麽	幺麽
九逕山	九迳山
乾乾淨淨	干干净净
乾乾脆脆	干干脆脆
乾元	乾元
乾卦	乾卦
乾嘉	乾嘉
乾圖	乾图
乾坤	乾坤
乾坤一擲	乾坤一掷
乾坤再造	乾坤再造
乾坤大挪移	乾坤大挪移
乾宅	乾宅
乾斷	乾断
乾旦	乾旦
乾曜	乾曜
乾清宮	乾清宫
乾盛世	乾盛世
乾紅	乾红
乾綱	乾纲
乾縣	乾县
乾象	乾象
乾造	乾造
乾道	乾道
乾陵	乾陵
乾隆	乾隆
乾隆年間	乾隆年间
乾隆皇帝	乾隆皇帝
二噁英	二𫫇英
五椏果	五桠果
以免藉口	以免借口
以功覆過	以功复过
任廷颺	任廷飏
余颺	余飏
侔德覆載	侔德复载
傢俱	家具
傷亡枕藉	伤亡枕藉
允祕	允祕
八濛山	八濛山
其陰多蒐	其阴多蒐
凌藉	凌借
凌陞	凌陞
出醜狼藉	出丑狼藉
函覆	函复
剋架	剋架
剋毒	剋毒
千鍾粟	千锺粟
南氾	南氾
南逕	南迳
反反覆覆	反反复复
反覆	反复
反覆思維	反复思维
反覆思量	反复思量
反覆性	反复性
名覆金甌	名复金瓯
吳俊陞	吴俊陞
吳祕	吴祕
吳育昇	吴育昇
哪吒	哪吒
單颺	单飏
回覆	回复
壺裏乾坤	壶里乾坤
大目乾連冥間救母變文	大目乾连冥间救母变文
宫商角徵羽	宫商角徵羽
射覆	射复
尼乾陀	尼乾陀
崔陞	崔陞
年釐	年釐
幺麼	幺麽
幺麼小丑	幺麽小丑
幺麼小醜	幺麽小丑
康乾	康乾
廣陞樓	广陞楼
張昇	張昇
張法乾	张法乾
彷彿	仿佛
彷徨	彷徨
徐可陞	徐可陞
徐胤昇	徐胤昇
徵弦	徵弦
徵絃	徵弦
徵羽摩柯	徵羽摩柯
徵聲	徵声
徵調	徵调
徵音	徵音
情有獨鍾	情有独钟 情有独锺
憑藉	凭借
憑藉着	凭借着
懷釐	怀釐
成甦	成甦
手鍊	手链
扭轉乾坤	扭转乾坤
找藉口	找借口
拉鍊	拉链
拉鍊工程	拉链工程
拜覆	拜复
據瞭解	据了解
文錦覆阱	文锦复阱
於世成	於世成
於乎	於乎
於仲完	於仲完
於倫	於伦
於其一	於其一
於則	於则
於勇明	於勇明
於呼哀哉	於呼哀哉
於單	於单
於坦	於坦
於崇文	於崇文
於忠祥	於忠祥
於惟一	於惟一
於戲	於戏
於敖	於敖
於梨華	於梨华
於清言	於清言
於潛	於潜
於琳	於琳
於穆	於穆
於竹屋	於竹屋
於菟	於菟
於邑	於邑
於陵子	於陵子
旋乾轉坤	旋乾转坤
旋轉乾坤	旋转乾坤
旋轉乾坤之力	旋转乾坤之力
昇元中	昇元中
明瞭	明了
明覆	明复
春蒐	春蒐
春釐	春釐
書中自有千鍾粟	书中自有千锺粟
有序	有序
朝乾夕惕	朝乾夕惕
木吒	木吒
朱賡颺	朱赓飏
李乾德	李乾德
李昇勳	李昇勋
李澤鉅	李泽钜
李祕	李祕
李鍊福	李链福
李鍾郁	李锺郁
李陞	李陞
束脩	束脩
東氾	东氾
林殿颺	林殿飏
林甦	林甦
枝椏	枝丫
椏杈	丫杈
椏枝	桠枝
椏楓	桠枫
椏溪	桠溪
楊甦棣	杨甦棣
樊於期	樊於期
段脩	段脩
毛殿颺	毛殿飏
水逕	水迳
氾勝之	氾胜之
氾南	氾南
氾國	氾国
氾水	氾水
沈沒	沉没
沈沒成本	沉没成本
沈積	沉积
沈船	沉船
沈颺	沈飏
沈默	沉默
沙逕	沙迳
河逕	河迳
流徵	流徵
浪蕩乾坤	浪荡乾坤
溫昇豪	温昇豪
滑藉	滑借
潘颺言	潘飏言
烏昇	乌昇
烏逕	乌迳
無序	无序
爾冬陞	尔冬陞
牴牾	抵牾
牴觸	抵触
狐藉虎威	狐借虎威
王彥昇	王彥昇
王陞元	王陞元
珍珠項鍊	珍珠项链
甚鉅	甚钜
甯中立	甯中立
甯乘	甯乘
甯予慶	甯予庆
甯光先	甯光先
甯化龍	甯化龙
甯嘉勗	甯嘉勗
甯嘉猷	甯嘉猷
甯威	甯威
甯恩承	甯恩承
甯應斌	甯应斌
甯曾綸	甯曾纶
甯杲	甯杲
甯溥	甯溥
甯瑞鯉	甯瑞鲤
甯粹然	甯粹然
甯舉	甯举
甯越	甯越
甯鈳	甯钶
甯長敬	甯长敬
申昇勳	申昇勋
申覆	申复
畢昇	毕昇
發覆	发复
盧象昇	卢象昇
瞭如	了如
瞭如指掌	了如指掌
瞭望	瞭望
瞭然	了然
瞭然於心	了然于心
瞭若指掌	了若指掌
瞭解	了解
瞭解到	了解到
示覆	示复
社逕	社迳
祕丕笈	祕丕笈
祕彭祖	祕彭祖
祕琼	祕琼
祝釐	祝釐
神祇	神祇
程颺伯	程飏伯
稟覆	禀复
答覆	答复
篤麼	笃麽
簡單明瞭	简单明了
籌畫	筹划
素藉	素借
絜其居	洁其居
絜其衣服	洁其衣服
絜己	洁己
絜廉	洁廉
絜情	洁情
絜操	洁操
絜清	洁清
絜爾牛羊	洁尔牛羊
絜白	洁白
絜粢	洁粢
絜行	洁行
絜身	洁身
絜靜	洁静
絜齊	洁齐
絜齋	洁斋
老態龍鍾	老态龙钟 老态龙锺
耿絜	耿洁
肉脩	肉脩
肘手鍊足	肘手链足
脩炳	脩炳
脩脡	脩脡
脩脯	脩脯
脩金	脩金
腶脩	腶脩
自絜	自洁
范元颺	范元飏
茅蒐	茅蒐
茵藉	茵借
萬鍾	万锺
董方颺	董方飏
董颺先	董飏先
蒐于紅	蒐于红
蒐狩	蒐狩
蒐猎	蒐猎
蒐獼	蒐狝
蒐田	蒐田
蒐畋	蒐畋
蒐苗	蒐苗
蒜薹	蒜薹
蔣昇	蒋昇
蕓薹	芸薹
蕩覆	荡复
蕭乾	萧乾
藉代	借代
藉以	借以
藉助	借助
藉助於	借助于
藉卉	借卉
藉口	借口
藉喻	借喻
藉寇兵	借寇兵
藉寇兵齎盜糧	借寇兵赍盗粮
藉手	借手
藉據	借据
藉故	借故
藉故推辭	借故推辞
藉方	借方
藉條	借条
藉槁	借槁
藉機	借机
藉此	借此
藉此機會	借此机会
藉甚	借甚
藉由	借由
藉着	借着
藉端	借端
藉端生事	借端生事
藉箸代籌	借箸代筹
藉草枕塊	借草枕块
藉藉	藉藉
藉藉无名	藉藉无名
藉詞	借词
藉讀	借读
藉資	借资
衹得	只得
衹見樹木	只见树木
衹見樹木不見森林	只见树木不见森林
袁祕	袁祕
袖裏乾坤	袖里乾坤
袷袢	袷袢
裴颺	裴飏
覆上	复上
覆住	复住
覆信	复信
覆冒	复冒
覆呈	复呈
覆命	复命
覆墓	复墓
覆宗	复宗
覆帳	复帐
覆幬	复帱
覆成	复成
覆按	复按
覆文	复文
覆杯	复杯
覆校	复校
覆瓿	复瓿
覆盂	复盂
覆盆	覆盆
覆盆子	覆盆子
覆盤	覆盘
覆育	复育
覆蕉尋鹿	复蕉寻鹿
覆逆	复逆
覆醢	复醢
覆醬瓿	复酱瓿
覆電	复电
覆露	复露
覆鹿尋蕉	复鹿寻蕉
覆鹿遺蕉	复鹿遗蕉
覆鼎	复鼎
見覆	见复
角徵	角徵
角徵羽	角徵羽
計畫	计划
許甦魂	许甦魂
謝陞	谢陞
譚廷颺	谭廷飏
變徵	变徵
變徵之聲	变徵之声
變徵之音	变徵之音
貂覆額	貂复额
買臣覆水	买臣复水
賡颺	赓飏
赤石逕	赤石迳
路陞	路陞
踅門瞭戶	踅门了户
躪藉	躏借
辛祕	辛祕
逆釐	逆釐
逕口	迳口
逕聯	迳联
逕頭	迳头
郭子乾	郭子乾
郭陞	郭陞
鄧颺	邓飏
鄭陞	郑陞
酒逢知己千鍾少	酒逢知己千锺少
酒逢知己千鍾少話不投機半句多	酒逢知己千锺少话不投机半句多
