PN結	PN接面
SQL注入	SQL隱碼攻擊
SQL注入攻擊	SQL隱碼攻擊
U盤	隨身碟
三極管	三極體
下拉列表	下拉選單
並行計算	平行計算
中間件	中介軟體
串口	串列埠
串行	序列
串行端口	串列埠
主引導記錄	主開機記錄
主板	主機板
二極管	二極體
互聯網	網際網路
交互	互動
交互式	互動式
人工智能	人工智慧
代碼	程式碼 代碼
代碼頁	內碼表
以太網	乙太網
任務欄	工作列
任務管理器	工作管理員
仿真	模擬
位圖	點陣圖
低級	低階 低級
便攜式	行動式 攜帶型
保存	儲存
信噪比	訊雜比
信息	資訊
信息安全	資訊保安
信息技術	資訊科技
信息論	資訊理論
信號	訊號 信號
信道	通道
傳感	感測
像素	畫素
僞代碼	虛擬碼
優先級	優先順序
優化	最佳化
元數據	後設資料
元編程	超程式設計
光標	游標
光盤	光碟
光驅	光碟機
免提	擴音
內存	記憶體
內核	核心
內置	內建
內聯函數	行內函數
全局	全域性
全角	全形
兼容	相容
冒泡排序	氣泡排序
函數	函式
函數式編程	函數語言程式設計
刀片服務器	刀鋒伺服器
分佈式	分散式
分區	分割槽
分辨率	解析度
刷新	重新整理
刻錄	燒錄
前綴	字首
剪切	剪下
剪貼板	剪貼簿
創建	建立
加載	載入
半角	半形
博客	部落格
卸載	解除安裝
原代碼	原始碼
參數	引數
參數表	參數列
句柄	控制代碼
可視化	視覺化
呼出	撥出
呼叫轉移	來電轉駁
命令式編程	指令式程式設計
命令行	命令列
命名空間	名稱空間
哈希	雜湊
單片機	微控制器
回調	回撥
固件	韌體
圖像	影象
圖庫	相簿
圖標	圖示
在線	線上
地址	地址 位址
地址欄	位址列
城域網	都會網路
堆棧	堆疊
場效應管	場效電晶體
壁紙	桌布 壁紙
外置	外接
外鍵	外來鍵
多任務	多工
多態	多型
多線程	多執行緒
字庫	字型檔
字段	欄位
字符	字元
字符串	字串
字符集	字符集
字節	位元組
字體	字型
存儲	儲存
存盤	存檔
宏	宏 巨集
宏內核	單核心
寄存器	暫存器
密鑰	金鑰
實例	例項 實例
實模式	真實模式
審覈	稽覈
寫保護	防寫
寬帶	寬頻
尋址	定址
對話框	對話方塊
對象	物件 對象
導入	匯入
導出	匯出
局域網	區域網
局部	區域性
屏幕	螢幕
屏蔽	遮蔽
嵌套	巢狀
布爾	布林
帶寬	頻寬
引導程序	載入程式
彙編	彙編 組譯
