借記卡	簽帳金融卡
元音	母音
冰棍棒	冰棒
冰棍	冰棒
出租車	計程車
咖喱	咖哩
塑料	塑膠
奔馳	賓士
奶酪	乳酪
字節跳動	字節跳動
幾率	機率
摩爾線程	摩爾線程
方便麪	泡麵 速食麵
方便麵	泡麵 速食麵
概率	機率
海內存知己	海內存知己
涼菜	冷盤
的士	計程車
砹	砈
硅	矽
程序不正義	程序不正義
程序正義	程序正義
空氣淨化器	空氣清淨機
納米	奈米
自行車	腳踏車
詞組	片語
蹦極	高空彈跳
輔音	子音
通過	透過 通過
酰	醯
鈁	鍅
鈈	鈽
錇	鉳
鍀	鎝
鎄	鑀
鎇	鋂
鎿	錼
鐦	鉲
鑥	鎦
鼻飼管	鼻胃管
鼻鼻胃管	鼻胃管
體重秤	體重計
詞典	辭典
睡眠質量	睡眠品質
早飯	早餐
模塊	模組
樹袋熊	無尾熊
考拉	無尾熊
下午好	午安
宕機	當機
多動症	過動症
小賣部	小攤販
差頭	計程車
打蛋器	打蛋機
殭屍粉	機器人
矢量	向量
圖像質量	圖片品質
圖片質量	圖片品質
對話質量	對話品質
工作質量	工作品質
影片的質量	影片的品質
影片質量	影片品質
生活質量	生活品質
程式的質量	程式的品質
程式質量	程式品質
空氣質量	空氣品質
質量上	品質上
質量下降	品質下降
質量不低	品質不低
質量不好	品質不好
質量不差	品質不差
質量不盡人意	品質不盡人意
質量不行	品質不行
質量不錯	品質不錯
質量不高	品質不高
質量也不賴	品質也不賴
質量也不錯	品質也不錯
質量低	品質低
質量佳	品質佳
質量保證	品質保證
質量參差不齊	品質參差不齊
質量可太低	品質可太低
質量可太好	品質可太好
質量可太差	品質可太差
質量可太高	品質可太高
質量太低	品質太低
質量太好	品質太好
質量太差	品質太差
質量太高	品質太高
質量好	品質好
質量就是好	品質就是好
質量很低	品質很低
質量很好	品質很好
質量很差	品質很差
質量很高	品質很高
質量挺不賴	品質挺不賴
質量挺不錯	品質挺不錯
質量挺低	品質挺低
質量挺好	品質挺好
質量挺差	品質挺差
質量挺高	品質挺高
質量控制	品質控制
質量控管	品質控管
質量提升	品質提升
質量極佳	品質極佳
質量標準	品質標準
質量檢驗	品質檢驗
質量比較低	品質比較低
質量比較好	品質比較好
質量比較差	品質比較差
質量比較高	品質比較高
質量真不賴	品質真不賴
質量真不錯	品質真不錯
質量稍低	品質稍低
質量稍好	品質稍好
質量稍差	品質稍差
質量稍微低	品質稍微低
