# Open Chinese Convert (OpenCC) Dictionary
# File: TWVariantsRevPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: tw2s.json, tw2sp.json, tw2t.json
#
# Notes:
# - This file contains phrase-level exceptions for reverse Taiwan variant
#   conversion. When a phrase here is matched, that span is converted by this
#   entry and is not affected by the character-level TWVariantsRev.txt mappings.
# - It is related to TWVariantsPhrases.txt, but the two files are not required
#   to be exact reverse mappings. Reverse variant conversion often needs
#   identity phrase exceptions that have no corresponding forward phrase entry.
# - Use TWPhrases.txt/TWPhrasesRev.txt for Taiwan regional vocabulary
#   mappings that should be maintained as bidirectional phrase pairs.

一口吃個	一口喫個
一口吃成	一口喫成
一家三口	一家三口
一家五口	一家五口
一家六口	一家六口
一家四口	一家四口
一展長才	一展長才
一流人才	一流人才
一表人才	一表人才
一針	一針
一針見血	一針見血
七步之才	七步之才
七步奇才	七步奇才
三才	三才
三才圖會	三才圖會
三針	三針
下才	下才
不成才	不成才
不才	不才
不打不成才	不打不成才
不良才	不良才
丟巧針	丟巧針
中才	中才
中核	中核
之核	之核
九針	九針
乾奴才	乾奴才
亂針繡	亂針繡
二流人才	二流人才
亞核	亞核
人才	人才
人才出衆	人才出衆
人才外流	人才外流
人才庫	人才庫
人才流失	人才流失
人才濟濟	人才濟濟
人才輩出	人才輩出
人才難得	人才難得
人盡其才	人盡其才
仙才	仙才
伊核	伊核
作育英才	作育英才
佳人才子	佳人才子
個核	個核
倒了核桃車子	倒了核桃車子
倒扣針兒	倒扣針兒
偏才	偏才
做針線	做針線
傲世輕才	傲世輕才
僅作參考	僅作參考
僅供參考	僅供參考
儲訓人才	儲訓人才
免參	免參
內參	內參
內核	內核
全才	全才
全程參加	全程參加
全面禁止核試驗條約	全面禁止核試驗條約
八字方針	八字方針
八斗之才	八斗之才
八斗才	八斗才
公才公望	公才公望
公衆參與	公衆參與
六才子書	六才子書
其核	其核
冠世之才	冠世之才
冰核	冰核
几案之才	几案之才
凡才	凡才
出倫之才	出倫之才
刀割針扎	刀割針扎
分針	分針
初露才華	初露才華
別針	別針
利弊參半	利弊參半
