128位	128位元
12位	12位元
16位	16位元
18位	18位元
1型糖尿病	第1型糖尿病
2009年H1N1流感大流行	2009年H1N1新型流感疫情
2009年人類豬型流感疫情	2009年H1N1新型流感疫情
2019冠狀病毒疾病	嚴重特殊傳染性肺炎
2019冠狀病毒病	嚴重特殊傳染性肺炎
24位	24位元
2型糖尿病	第2型糖尿病
31位	31位元
32位	32位元
36位	36位元
48位	48位元
4位	4位元
60位	60位元
64位	64位元
80位	80位元
8位	8位元
A盤	本機磁碟(A)
A磁碟機	本機磁碟(A)
A群流腦	流行性腦脊髓膜炎（A型）
BC范式	BC正規形式
B盤	本機磁碟(B)
B磁碟機	本機磁碟(B)
C盤	本機磁碟(C)
C磁碟機	本機磁碟(C)
C群流腦	流行性腦脊髓膜炎（C型）
DK范式	DK規格化
D盤	本機磁碟(D)
D磁碟機	本機磁碟(D)
E盤	本機磁碟(E)
E磁碟機	本機磁碟(E)
F盤	本機磁碟(F)
F磁碟機	本機磁碟(F)
Google云消息傳遞	Google雲端通訊
Google工具條	Google工具列
Google文檔	Google文件
Google視頻	Google影片
GSM流動	GSM行動
GSM移動	GSM行動
G盤	本機磁碟(G)
G磁碟機	本機磁碟(G)
H盤	本機磁碟(H)
H磁碟機	本機磁碟(H)
I盤	本機磁碟(I)
I磁碟機	本機磁碟(I)
Java的類	Java的類別
Java類	Java類別
J盤	本機磁碟(J)
J磁碟機	本機磁碟(J)
K盤	本機磁碟(K)
K磁碟機	本機磁碟(K)
L盤	本機磁碟(L)
L磁碟機	本機磁碟(L)
M盤	本機磁碟(M)
M磁碟機	本機磁碟(M)
NetBook	小筆電
Northern印跡	北方墨點
N盤	本機磁碟(N)
N磁碟機	本機磁碟(N)
O盤	本機磁碟(O)
O磁碟機	本機磁碟(O)
PN結	PN接面
P盤	本機磁碟(P)
P磁碟機	本機磁碟(P)
Q盤	本機磁碟(Q)
Q磁碟機	本機磁碟(Q)
R盤	本機磁碟(R)
R磁碟機	本機磁碟(R)
SanDisk	新帝
Southern印跡	南方墨點
SQL注入	SQL隱碼攻擊
SQL注入攻擊	SQL隱碼攻擊
Sun微系統	昇陽電腦
S盤	本機磁碟(S)
S磁碟機	本機磁碟(S)
Toll樣受體	類鐸受體
T盤	本機磁碟(T)
T磁碟機	本機磁碟(T)
Ultrabook	超極致筆電
USB手指	USB隨身碟
U盤	USB磁碟機 USB隨身碟 隨身碟
U磁碟機	本機磁碟(U)
V盤	本機磁碟(V)
V磁碟機	本機磁碟(V)
Western印跡	西方墨點
W盤	本機磁碟(W)
W磁碟機	本機磁碟(W)
X盤	本機磁碟(X)
X磁碟機	本機磁碟(X)
X窗口系統	X視窗系統
Y盤	本機磁碟(Y)
Y磁碟機	本機磁碟(Y)
Z盤	本機磁碟(Z)
Z磁碟機	本機磁碟(Z)
μ中微子	緲微中子
μ子	緲子
τ中微子	濤微中子
τ子	陶子
一型糖尿病	第1型糖尿病
一致收斂	均勻收斂
一致有界性原理	均勻有界原理
一致空間	均勻空間
一致范數	均勻範數
一致連續	均勻連續
一致鄰域	均勻鄰域
一補碼	一補數
丁型流感	D型流感
丁型肝炎	D型肝炎
三分律	三一律
三叉搜尋樹	三元搜尋樹
三叉搜索樹	三元搜尋樹
三叉樹	三元樹
三叉鏈表	三元連結串列
三極管	三極體
三維計算機	3D電腦
三維計算機圖形	3D電腦圖形
三維電影	3D電影
三角蛛屬	扇網蛛屬
三酰甘油	三酸甘油酯
上下文切換	上下文交換
上同倫	餘倫
上同調	餘調
上網本	小筆電
上鏈	餘鍵
下划線	底線
下拉列表	下拉式清單 下拉選單
下拉菜單	下拉式選單
不交并	互斥聯集
世界流動通訊大會	世界行動通訊大會
世界移動通信大會	世界行動通訊大會
丘腹蛛屬	菱蛛屬
丙型流感	C型流感
丙型肝炎	C型肝炎
丟失	遺失
並苯	駢苯
並行計算	平行計算
中值定理	均值定理
中國海大銼蛤	大黃狐蛤
中央前回	中央前迴
中央后回	中央後迴
中央後回	中央後迴
中微子	微中子
中心極限定理	中央極限定理
中性粒細胞	嗜中性球
中端	中階
中級	中階
中華石龍尾	紫蘇草
中間件	中介軟體
丰富互聯網應用程序	多樣化網際網路應用程式
丰度	豐度
串口	串列埠 序列埠
串行	序列
串行端口	串列埠 序列埠
串行計算	序列計算
主元	軸元
主存	主記憶體
主引導記錄	主開機紀錄 主開機記錄
主板	主機板
主頁	首頁
乘數表	乘法表
乙型流感	B型流感
乙型肝炎	B型肝炎
乙酰水楊酸	乙醯柳酸
二噁英	戴奧辛
二叉堆	二元堆積
二叉堆積	二元堆積
二叉搜尋樹	二元搜尋樹
二叉搜索樹	二元搜尋樹
二叉樹	二元樹
二叉鏈表	二元連結串列
二型糖尿病	第2型糖尿病
二極管	二極體
二次域	二次體
二甲硝咪唑	待美嘧唑
二維碼	二維條碼
二補碼	二補數
云存儲	雲端儲存
云計算	雲端運算
互余	互餘
互信息	相互資訊
互協方差	交叉共變數
互斥併集	互斥聯集
互素	互質
互聯網	網際網路
互聯網內容供應商	線上內容提供者
互聯網內容提供商	線上內容提供者
互聯網服務供應商	網際網路服務提供者
互聯網服務提供商	網際網路服務提供者
互聯網金鑰交換	網際網路金鑰交換
互變異搆體	互變異構物
互變異構體	互變異構物
亞原子	次原子
交互	互動
交互式	互動式
交叉韌帶	十字韌帶
亥維賽	黑維塞
亮氨酰	白胺醯
亮氨酸	白胺酸
人工智能	人工智慧
人工神經	類神經
人工肺	葉克膜
人機界面	人機介面
人臉識別	臉部辨識
人面辨識	臉部辨識
人類豬型流感	H1N1新型流感
仁蚧科	仁介殼蟲科
仄腹蠟蟬科	小頭飛蝨科
介孔二氧化硅	中孔洞二氧化矽
介孔氧化硅	中孔洞氧化矽
介質	媒介
介質相關接口	媒體相依介面
代數封閉域	代數封閉體
代數無關	代數獨立
代數相關	代數相依
代數閉域	代數閉體
代碼	程式碼 代碼
代碼生成器	碼產生器
代碼頁	內碼表
令牌	權杖
以太網	乙太網 乙太網路
仲碳	二級碳
仲胺	二級胺
仲醇	二級醇
任務切換	工作切換
任務欄	工作列
任務管理器	工作管理員
仿真	模擬
企業移動管理	企業行動管理
伊維菌素	愛滅蟲
伊辛	易辛
休克爾	休克耳
伯克利軟件套件	柏克萊軟體套件
伯努利	白努利
伯碳	一級碳
伯胺	一級胺
伯醇	一級醇
伴性遺傳	性聯遺傳
伴胞	伴細胞
似然	概似
伽羅瓦域	伽羅瓦體
伽馬	伽瑪
位串	位元串
位圖	點陣圖
位操作	位元運算
位模式	位元型樣
位段	位元欄
低清	低畫質
低端	低階
低級	低階
低級	低階 低級
低級編程語言	低階程式語言
低級語言	低階語言
余代數	餘代數
余像	餘像
余單純	餘單純
余因子	餘因子
余核	餘核
余極限	餘極限
余模	餘模
余法叢	餘法叢
余矢	餘矢
余緯度	餘緯度
佛利民	傅利曼
佯謬	悖論
併集	聯集
例程	常式
依存類型	依存型別
依賴類型	依值型別
便攜式	可攜式
便攜式	行動式 攜帶型
便攜版	可攜式版本
俄歇	奧杰
保存	儲存
