三藩市	舊金山
上哈爾茨	上哈茲
上哈茨	上哈茲
上奧地利州	上奧地利邦
上沃爾特	上伏塔
上荷蘭	艾霍蘭
下奧地利州	下奧地利邦
下薩克森州	下薩克森邦
不來梅	布萊梅
不來梅哈芬	布萊梅港
不來梅州	布萊梅邦
不倫瑞克	布藍茲維
不列顛哥倫比亞	英屬哥倫比亞
不萊梅	不來梅 布萊梅
不萊梅州	布萊梅邦
不萊梅港	布萊梅港
丘胡伊夫	楚胡伊夫
丹帕沙	登巴薩
主權根據地區	主權基地區
乃磨	納奈莫
乍得	查德
也門	葉門
些路士	塞爾西
亞倫	雅連
亞克羅提利	德凱利亞
亞克羅提利和德凱利亞	亞克羅提利與德凱利亞
亞拉倫拉	雅拉倫拉
亞拉巴馬	阿拉巴馬
亞歷山大港	亞歷山卓
亞沃里夫	亞沃利夫
亞琛	阿亨
亞的斯亞貝巴	阿迪斯阿貝巴
亞皆老	阿蓋爾
亞穆蘇克羅	雅穆索戈
亞細安	東協
亞細安組織	東南亞國家協會
亞豐素克勞迪烏	阿風索克勞迪歐
亞辛	雅欣
亞速爾群島	亞速群島
亞厘畢	艾伯特
亞馬孫	亞馬遜
京士惇	京斯頓
京士頓	京斯惇 京斯頓 金石城
什切青	斯塞新
什未林	施威林
什羅普	施洛普
什魯斯伯里	士魯斯柏立 舒茲伯利
仙童半導體	快捷半導體
代爾夫特	臺夫特
伊凡	伊瓦諾
伊利沙伯港	伊莉莎白港
伊利諾伊	伊利諾
伊利近	埃爾金
伊卡盧伊特	伊魁特
伊斯坦布爾	伊斯坦堡
伊斯梅爾	依斯邁
伊斯蘭堡	伊斯蘭瑪巴德
伊斯靈頓	伊斯林頓
伊普斯維奇	伊普斯威奇
伊比利亞	伊比利
伊洛伊洛	怡朗
伊珀爾	伊伯
伊納姆克洛	伊南克洛
伊萬諾	伊凡諾 伊瓦諾
伊靈	伊令
伊麗莎白港	伊利沙伯港 伊莉莎白港
伍德蘭	森林地
伍珀塔爾	烏帕塔
伍珀河	烏帕河
伏伊伏丁那	佛伊弗迪納
休斯惇	休士頓
休斯頓	休士頓
伯克利	柏克萊
伯利玆	貝里斯
伯利茲	貝里斯
伯恩利	班來
伯恩賽德	濱世
伯明翰	伯明罕
伯爾尼	伯恩
伯班克	柏本克
佐治	喬治
佐治亞州	喬治亞州
佐治城	喬治城
佐治河	喬治斯河
佛得角	維德角
佛羅倫薩	佛羅倫斯
佛蘭德	法蘭德斯
佩格尼茨	佩格尼茲
佩納姆	卑尼咸
佩萊利烏	佩里琉 貝里琉
佳德	克萊德
依布拉欣	伊布拉欣
依路	怡朗
侯城	赫爾河畔京斯惇
侯斯頓	休士頓
侯河	赫爾河
侯賽因	胡先
侯賽因·奥恩	胡先翁
俄克拉荷馬	奧克拉荷馬
俄克拉荷馬城	奧克拉荷馬市
俄勒岡	奧勒岡
俄福	奧福德
保頓	波爾頓
修咸頓	南安普惇
修夫基	索斯蓋特
修打蘭	薩瑟蘭
修適士	薩塞克斯
倫巴第	倫巴底
倫惇城	倫惇市
傅里葉	傅立葉
傑爾	焦爾
僑福	基爾福
先吉列伊	森吉列伊
克恩頓	卡林西亞
克恩頓州	卡林西亞邦
克拉倫斯	嘉蘭士
克拉倫斯公園	嘉蘭士柏
克拉勒姆	克拉蘭
克拉珀姆	克萊姆
克珀尼克	哥本尼克
克羅伊茨貝格	十字山
克羅地亞	克羅埃西亞
克里沃羅格	克利福洛
克雷費爾徳	克雷費德
克馬德克	克馬得
內政和國土部	內政和家園部
