亞塞拜然	阿塞拜疆
傅立葉	傅里葉
克羅埃西亞	克羅地亞
列支敦斯登	列支敦士登
加彭	加蓬
千里達及托巴哥	特立尼達和多巴哥
卡達	卡塔爾
厄利垂亞	厄立特里亞
厄瓜多	厄瓜多爾
史瓦濟蘭	斯威士蘭
吉布地	吉布堤
吉里巴斯	基里巴斯
吐瓦魯	圖瓦盧
哈薩克	哈萨克斯坦
哥斯大黎加	哥斯達黎加
喬治亞	格魯吉亞
土庫曼	土庫曼斯坦
坦尚尼亞	坦桑尼亞
塔吉克	塔吉克斯坦
塞席爾	塞舌爾
塞普勒斯	塞浦路斯
夏農	香農
多明尼加	多米尼加
奈及利亞	尼日利亞
安地卡及巴布達	安提瓜和巴布達
宏都拉斯	洪都拉斯
寮國	老撾
尚比亞	贊比亞
尤拉	歐拉
尼日	尼日爾
巴布亞紐幾內亞	巴布亞新幾内亚
巴貝多	巴巴多斯
布吉納法索	布基納法索
帛琉	帕劳
幾內亞比索	幾內亞比紹
快捷半導體	仙童半導體
斯洛維尼亞	斯洛文尼亞
查德	乍得
格瑞那達	格林納達
模里西斯	毛里求斯
汶萊	文莱
沙烏地阿拉伯	沙特阿拉伯
波士尼亞赫塞哥維納	波斯尼亞黑塞哥維那
波札那	博茨瓦納
烏茲別克	烏茲別克斯坦
獅子山	塞拉利昂
瓜地馬拉	危地馬拉
甘比亞	岡比亞
盧安達	盧旺達
突尼西亞	突尼斯
紐西蘭	新西蘭
索羅門羣島	所羅門羣島
索馬利亞	索馬里
維德角	佛得角
義大利	意大利
聖克里斯多福及尼維斯	聖基茨和尼維斯
聖文森及格瑞那丁	聖文森特和格林納丁斯
聖露西亞	聖盧西亞
聖馬利諾	聖馬力諾
肯亞	肯尼亞
茅利塔尼亞	毛里塔尼亞
莫三比克	莫桑比克
萬那杜	瓦努阿圖
葉門	也門
葛摩	科摩羅
蒲隆地	布隆迪
蓋亞那	圭亞那
蘇利南	蘇裏南
衣索比亞	埃塞俄比亞
諾魯	瑙魯
象牙海岸	科特迪瓦
貝南	貝寧
貝里斯	伯利茲
賴比瑞亞	利比里亞
賴索托	萊索托
辛巴威	津巴布韋
迦納	加納
那杜	溫納圖萬
阿拉伯聯合大公國	阿拉伯聯合酋長國
馬利共和國	馬里共和國
馬爾地夫	馬爾代夫
