# Open Chinese Convert (OpenCC) Dictionary
# File: CJKCompatibilityIdeographs.txt
# Fields: compatibility ideograph code | [standard ideograph code]
# Source: https://www.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt (accessed 2026-06-07)
# License: Apache-2.0 (see LICENSE)

F900	8C48
F901	66F4
F902	8ECA
F903	8CC8
F904	6ED1
F905	4E32
F906	53E5
F907	9F9C
F908	9F9C
F909	5951
F90A	91D1
F90B	5587
F90C	5948
F90D	61F6
F90E	7669
F90F	7F85
F910	863F
F911	87BA
F912	88F8
F913	908F
F914	6A02
F915	6D1B
F916	70D9
F917	73DE
F918	843D
F919	916A
F91A	99F1
F91B	4E82
F91C	5375
F91D	6B04
F91E	721B
F91F	862D
F920	9E1E
F921	5D50
F922	6FEB
F923	85CD
F924	8964
F925	62C9
F926	81D8
F927	881F
F928	5ECA
F929	6717
F92A	6D6A
F92B	72FC
F92C	90CE
F92D	4F86
F92E	51B7
F92F	52DE
F930	64C4
F931	6AD3
F932	7210
F933	76E7
F934	8001
F935	8606
F936	865C
F937	8DEF
F938	9732
F939	9B6F
F93A	9DFA
F93B	788C
F93C	797F
F93D	7DA0
F93E	83C9
F93F	9304
F940	9E7F
F941	8AD6
F942	58DF
F943	5F04
F944	7C60
F945	807E
F946	7262
F947	78CA
F948	8CC2
F949	96F7
F94A	58D8
F94B	5C62
F94C	6A13
F94D	6DDA
F94E	6F0F
F94F	7D2F
F950	7E37
F951	964B
F952	52D2
F953	808B
F954	51DC
F955	51CC
F956	7A1C
F957	7DBE
F958	83F1
F959	9675
F95A	8B80
F95B	62CF
F95C	6A02
F95D	8AFE
F95E	4E39
F95F	5BE7
F960	6012
F961	7387
F962	7570
F963	5317
F964	78FB
F965	4FBF
F966	5FA9
F967	4E0D
F968	6CCC
F969	6578
F96A	7D22
F96B	53C3
F96C	585E
F96D	7701
F96E	8449
F96F	8AAA
F970	6BBA
F971	8FB0
F972	6C88
F973	62FE
F974	82E5
F975	63A0
F976	7565
F977	4EAE
F978	5169
F979	51C9
F97A	6881
F97B	7CE7
F97C	826F
F97D	8AD2
F97E	91CF
F97F	52F5
F980	5442
F981	5973
F982	5EEC
F983	65C5
F984	6FFE
F985	792A
F986	95AD
F987	9A6A
F988	9E97
F989	9ECE
F98A	529B
F98B	66C6
F98C	6B77
F98D	8F62
F98E	5E74
F98F	6190
F990	6200
F991	649A
F992	6F23
F993	7149
F994	7489
F995	79CA
F996	7DF4
F997	806F
F998	8F26
F999	84EE
F99A	9023
F99B	934A
F99C	5217
F99D	52A3
F99E	54BD
F99F	70C8
F9A0	88C2
F9A1	8AAA
F9A2	5EC9
F9A3	5FF5
F9A4	637B
F9A5	6BAE
F9A6	7C3E
F9A7	7375
F9A8	4EE4
F9A9	56F9
F9AA	5BE7
F9AB	5DBA
F9AC	601C
F9AD	73B2
F9AE	7469
F9AF	7F9A
F9B0	8046
F9B1	9234
F9B2	96F6
F9B3	9748
F9B4	9818
F9B5	4F8B
F9B6	79AE
F9B7	91B4
F9B8	96B8
F9B9	60E1
F9BA	4E86
F9BB	50DA
F9BC	5BEE
F9BD	5C3F
F9BE	6599
F9BF	6A02
F9C0	71CE
F9C1	7642
F9C2	84FC
F9C3	907C
F9C4	9F8D
F9C5	6688
F9C6	962E
F9C7	5289
F9C8	677B
F9C9	67F3
F9CA	6D41
F9CB	6E9C
F9CC	7409
F9CD	7559
F9CE	786B
F9CF	7D10
F9D0	985E
F9D1	516D
F9D2	622E
