畫	画 划
覆	覆 复
藉	藉 借	讀jí時或用於慰藉、襯墊義時不簡化作「借」，如「狼藉（jí）」「枕藉（jiè）」。
乾	乾 干	讀qián時不簡化作「干」，如「乾坤」「乾隆」。
瞭	瞭 了	讀liào時不簡化作「了」，如「瞭望」「瞭哨」。
鍊	炼 链
蘋	苹 𬞟	用於表示植物名時簡化作「𬞟」，不簡化作「苹」。
於	于 於
鉅	巨 钜	可用於姓氏人名、地名，但須類推簡化作「钜」。
衹	衹 只	用於表示地神，讀qí。讀zhǐ時用「只」。
著	着 著
沈	沈 沉
迺	乃 迺	可用於姓氏人名、地名。
麼	么 麽	讀mó時不簡化作「么」，如「幺麽小丑」。
椏	丫 桠	可用於姓氏人名、地名和科學技術術語，但須類推簡化作「桠」，如「五椏果科」。
耑	专 耑	可用於姓氏人名，讀duān。讀zhuān時用「专」。
昇	升 昇	可用於姓氏人名，如「畢昇」。
陞	升 陞	可用於姓氏人名、地名。
讎	仇 雠	用於「校讎」「讎定」「仇讎」等，但須類推簡化作「雠」。其他意義用「仇」。
甯	宁 甯	可用於姓氏人名。
颺	扬 飏	可用於姓氏人名，但須類推簡化作「飏」。
袷	夹 袷	用於「袷袢」，讀qiā。讀jiá時用「夹」。
麴	曲 麹	可用於姓氏人名，但須類推簡化作「麹」。
仝	同 仝	可用於姓氏人名。
夥	伙 夥	作「多」解時不簡化作「伙」。
剋	克 剋	表示訓斥、打人時讀kēi，不簡化作「克」。
甦	苏 甦	可用於姓氏人名。
邨	村 邨	可用於姓氏人名。
氾	泛 氾	可用於姓氏人名，讀fán。讀fàn時用「泛」。
堃	坤 堃	可用於姓氏人名。
犇	奔 犇	可用於姓氏人名。
龢	和 龢	可用於姓氏人名。
訢	欣 䜣	可用於姓氏人名，但須類推簡化作「䜣」。
徵	征 徵	用於表示「宮商角徵羽」五音之一時讀zhǐ，不簡化作「征」。
逕	径 迳	可用於姓氏人名、地名，但須類推簡化作「迳」。
鑪	炉 𬬻	用於科學技術術語，指一種人造的放射性元素（符號為Rf），但須類推簡化作「𬬻」。
線	线 缐	可用於姓氏人名，但須類推簡化作「缐」。
釐	厘 釐	可用於姓氏人名，讀xī。讀lí時用「厘」。
鍾	钟 锺	用於姓氏人名時可簡化作「锺」。
脩	修 脩	用於表示乾肉，如「束脩」。其他意義用「修」。
絜	洁 絜	讀xié或jié時均可用於姓氏人名。
扞	捍 扞	用於表示相互牴觸，如「扞格」。其他意義用「捍」。
喆	哲 喆	可用於姓氏人名。
祕	秘 祕	可用於姓氏人名。
藉	借 藉	讀jí時或用於慰藉、襯墊義時不簡化作「借」，如「狼藉（jí）」「枕藉（jiè）」。
頫	俯 𫖯	可用於姓氏人名，但須類推簡化作「𫖯」，如「趙孟頫」。
貲	资 赀	可用於姓氏人名和表示計量義，但須類推簡化作「赀」。
叚	假 叚	可用於姓氏人名，讀xiá。讀jiǎ時用「假」。
勣	绩 𪟝	可用於姓氏人名，但須類推簡化作「𪟝」。
菉	绿 菉	可用於姓氏人名、地名。
蒐	搜 蒐	用於表示草名和春天打獵。其他意義用「搜」。
淼	渺 淼	可用於姓氏人名、地名。
椀	碗 椀	用於科學技術術語，如「橡椀」。其他意義用「碗」。
谿	溪 谿	可用於姓氏人名。
筦	管 筦	可用於姓氏人名。
澂	澄 澂	可用於姓氏人名。
劄	札 劄	用於科學技術術語，如中醫學中的「目劄」。其他意義用「札」。
阪	坂 阪	可用於地名，如「大阪」。
吒	咤 吒	可用於姓氏人名，讀zhā，如「哪吒」。讀zhà時用「咤」。
