丟	丟 丢
並	並 竝
乃	乃 迺
俯	俯 頫
假	假 叚
僞	偽 僞
僱	僱 雇
兌	兌 兑
內	內 内
冊	冊 册
冢	冢 塚
剁	剁 刴
剋	剋 尅
剿	剿 勦
劃	劃 𠟱 劐 𠜻
劍	劍 劎 劒 剣 剱 劔
勳	勳 勛
匯	匯 滙
升	升 陞 阩 𧿘
只	只 𠮡 𠷓
同	同 仝
呆	呆 獃
和	和 龢
哲	哲 喆
啓	啓 啟
回	回 囘 囬
囪	囪 囱
坤	坤 堃
垛	垛 垜
埼	埼 碕 崎 隑
壩	垻 壩
壺	壷 壺
夠	够 夠
奔	奔 犇
妝	妝 粧
媼	媼 媪
嫋	嫋 嬝
嬀	媯 嬀
嬤	嬤 嬷
寧	寧 甯
峯	峰 峯
崙	崙 崘
嶽	嶽 𡶓 𡶳 𡴳
幷	并 幷
廁	廁 厠
彝	彝 彞
悅	悅 悦
愨	愨 慤 𣪎
慍	慍 愠
戶	戶 户 戸
拋	拋 抛
挆	挆 挅
挩	挩 捝
捂	捂 摀
捻	捻 撚
搗	擣 搗
搵	搵 揾
擔	擔 担
擡	擡 抬
敓	敓 敚
教	教 敎
暱	昵 暱
曬	曬 晒
朵	朵 朶
杴	杴 鍁 𣞘
查	査 查
柺	柺 枴
梲	梲 棁
棱	棱 稜
棲	棲 栖
榲	榲 榅
檐	檐 簷
檯	檯 枱
檾	檾 苘 䔛
殼	㱿 殻 殼 㱿 𣪊
氳	氳 氲
污	汙 污 汚
泄	泄 洩
涌	湧 涌
涗	涗 涚
渺	渺 淼
溪	溪 谿
溫	溫 温
溯	溯 泝
溼	濕 溼
潔	潔 絜
潙	溈 潙
澄	澄 澂
灩	灩 灎 灧
煙	煙 烟
爲	爲 為
牀	牀 床
牆	牆 墻
獎	獎 奬 𤟌 㢡
甕	甕 瓮
產	產 産
畫	畫 畵 𤱪 𨽶 𤲯
痺	痺 痹
瘻	瘻 瘺
癡	癡 痴
禿	禿 秃
秋	秋 龝 秌
秘	祕 秘
稅	稅 税
竈	竈 灶
管	管 筦
糉	糉 粽
累	累 纍
絕	絕 絶 𢇍 𠤉
絛	絛 縧
綠	綠 緑
綫	線 綫
縕	縕 緼
績	績 勣
繃	繃 綳
繡	繡 綉
繮	繮 韁
罈	罈 墰 罎 壜
罵	罵 駡
羣	羣 群
羶	羶 羴
考	考 攷
脣	脣 唇
脫	脫 脱
膃	膃 腽
臥	臥 卧
蒕	蒕 蒀
蓴	蓴 蒓
蔥	葱 蔥
蔿	蔿 蒍
蘊	蘊 藴
蛻	蛻 蜕
蝨	虱 蝨
螂	蜋 螂
衆	衆 眾
衛	衛 衞
裏	裏 裡
說	說 説
謠	謠 謡 䚻
譾	譾 謭
豎	豎 竪
豔	艷 豔 豓
資	資 貲
贓	贓 贜
贗	贗 贋 偐
跺	跺 跥
踊	踴 踊
躲	躲 躱
轀	轀 輼
逾	逾 踰
醞	醞 醖
醯	酰 醯
鉢	鉢 缽
鉤	鉤 鈎
銳	銳 鋭
銳	銳 鋭
錄	錄 録
錘	錘 鎚
鏽	鏥 銹 鏽
鐫	鐫 鎸 鋑 𥍯
钁	钁 鐝
閱	閱 閲
阪	坂 阪
雕	雕 彫 琱
雞	雞 鷄 鶏
鞝	鞝 緔
頹	頹 頽
顏	顏 顔
餈	餈 糍
餚	餚 肴
館	館 舘
鬥	鬭 鬥 鬭 闘
鬨	鬨 閧
鯗	鯗 鮝
鰮	鰮 鰛
鱷	鱷 鰐 𧍞
鳧	鳧 鳬
鵰	鵰 雕
鶿	鶿 鷀
鹼	鹼 礆 碱
麪	麪 麵
麴	麯 麴
麼	麽 麼
黴	黴 霉
鼴	鼴 鼹
齎	齎 賫
齧	嚙 齧
