一万七千五百	一萬七千五百
一万三千五百	一萬三千五百
一万两千五百	一萬兩千五百
一万六千五百	一萬六千五百
一个中国政策	一個中國政策
一个头两个大	一個頭兩個大
一亿三千多万	一億三千多萬
一亿零八百万	一億零八百萬
一亿零六百万	一億零六百萬
一伙子持臥单	一夥子持臥單
一千一百多万	一千一百多萬
一千三百多万	一千三百多萬
一千两百五十	一千兩百五十
一千四百零八	一千四百零八
一千零五十万	一千零五十萬
一千零八十万	一千零八十萬
一发不可收拾	一發不可收拾
一口吃个胖子	一口吃個胖子
一回生两回熟	一回生兩回熟
一回生二回熟	一回生二回熟
一天一个现在	一天一個現在
一尺布尚可缝	一尺布尚可縫
一掬同情之泪	一掬同情之淚
一步一个脚印	一步一個腳印
一点水一个泡	一點水一個泡
一生受用不尽	一生受用不盡
一百一十三万	一百一十三萬
一百三十七万	一百三十七萬
一百三十五万	一百三十五萬
一百三十四万	一百三十四萬
一百二十五万	一百二十五萬
一百五十多万	一百五十多萬
一百四十多万	一百四十多萬
七十七国集团	七十七國集團
七百七十九万	七百七十九萬
万变不离其宗	萬變不離其宗
万国邮政联盟	萬國郵政聯盟
万有引力定律	萬有引力定律
万维天罗地网	萬維天羅地網
万维网联合体	萬維網聯合體
万那杜共和国	萬那杜共和國
三十二万五千	三十二萬五千
三寸丁谷树皮	三寸丁谷樹皮
三折肱为良医	三折肱爲良醫
三月里的桃花	三月裏的桃花
三角巾包扎法	三角巾包紮法
三魂掉了二魂	三魂掉了二魂
上海合作组织	上海合作組織
上海师范大学	上海師範大學
上证综合指数	上證綜合指數
不可以道里计	不可以道里計
不可同年而语	不可同年而語
不可同日而语	不可同日而語
不怕官只怕管	不怕官只怕管
不按牌理出牌	不按牌理出牌
不知一个头脑	不知一個頭腦
不确定性原理	不確定性原理
不透明水彩画	不透明水彩畫
不问前因后果	不問前因後果
不问是非曲直	不問是非曲直
不食人间烟火	不食人間煙火
且听下回分解	且聽下回分解
世界旅游组织	世界旅遊組織
世界经济论坛	世界經濟論壇
东北师范大学	東北師範大學
东淨里的砖儿	東淨裏的磚兒
丢入爪哇国里	丟入爪哇國裏
两万一千五百	兩萬一千五百
两万九千五百	兩萬九千五百
两西西里王国	兩西西里王國
个人数字助理	個人數字助理
个人英雄主义	個人英雄主義
个人防护装备	個人防護裝備
个别生产价格	個別生產價格
中华技术学院	中華技術學院
中华肝吸虫病	中華肝吸蟲病
中原标准时间	中原標準時間
中台科技大学	中臺科技大學
中国剩余定理	中國剩餘定理
中国医药大学	中國醫藥大學
中国民主同盟	中國民主同盟
中央专制集权	中央專制集權
中央广播电台	中央廣播電臺
中央监控系统	中央監控系統
中央空调系统	中央空調系統
中州技术学院	中州技術學院
中度发展国家	中度發展國家
中枢神经系统	中樞神經系統
中等师范学校	中等師範學校
中等技术学校	中等技術學校
中远香港集团	中遠香港集團
临沂师范学院	臨沂師範學院
丹尼尔克雷格	丹尼爾克雷格
为善不欲人知	爲善不欲人知
义勇军进行曲	義勇軍進行曲
乌兹别克斯坦	烏茲別克斯坦
乌干达共和国	烏干達共和國
乌滋别克斯坦	烏滋別克斯坦
乌菲兹美术馆	烏菲茲美術館
乌鲁克恰提县	烏魯克恰提縣
乐山师范学院	樂山師範學院
乙种国民兵役	乙種國民兵役
乞力马扎罗山	乞力馬扎羅山
买一个饶一个	買一個饒一個
乱搞男女关系	亂搞男女關係
事实胜于雄辩	事實勝於雄辯
二万一千五百	二萬一千五百
二十八星瓢虫	二十八星瓢蟲
二姑娘顽老雕	二姑娘頑老雕
云从龙风从虎	雲從龍風從虎
云林科技大学	雲林科技大學
云端里看厮杀	雲端裏看廝殺
互不干涉內政	互不干涉內政
五七干部学校	五七幹部學校
五十七万八千	五十七萬八千
亚东关系协会	亞東關係協會
亚伦艾克哈特	亞倫艾克哈特
亚历山大大帝	亞歷山大大帝
亚历山大帝国	亞歷山大帝國
亚历山大里亚	亞歷山大里亞
亚太经合组织	亞太經合組織
亚德安布洛迪	亞德安布洛迪
亚洲开发银行	亞洲開發銀行
亚美利加人种	亞美利加人種
亲者痛仇者快	親者痛仇者快
人为万物之灵	人爲萬物之靈
人老精姜老辣	人老精薑老辣
人肉搜索引擎	人肉搜索引擎
介质访问控制	介質訪問控制
仙女座大星云	仙女座大星雲
以不变应万变	以不變應萬變
企业联合组织	企業聯合組織
企业识别系统	企業識別系統
伊拉里欧诺夫	伊拉里歐諾夫
伊斯兰教历史	伊斯蘭敎歷史
伊瑞克提翁庙	伊瑞克提翁廟
伙穿一条裤子	夥穿一條褲子
传位于四太子	傳位于四太子
传统中国医药	傳統中國醫藥
传输控制协定	傳輸控制協定
低度发展国家	低度發展國家
余留无符号数	餘留無符號數
侧撞防护系统	側撞防護系統
便宜不过当家	便宜不過當家
便益不失当家	便益不失當家
俄克拉何马城	俄克拉何馬城
俄克拉何马州	俄克拉何馬州
俄克拉荷马州	俄克拉荷馬州
保险解开系统	保險解開系統
信人调丢了瓢	信人調丟了瓢
信阳师范学院	信陽師範學院
倒了八辈子楣	倒了八輩子楣
倒了核桃车子	倒了核桃車子
倒抽了一口气	倒抽了一口氣
借寇兵赍盗粮	藉寇兵齎盜糧
值得注意的是	值得注意的是
偏正式合成词	偏正式合成詞
健康胜于财富	健康勝於財富
僵直性脊椎炎	僵直性脊椎炎
儒略改革历史	儒略改革歷史
先小人后君子	先小人後君子
先锋模范作用	先鋒模範作用
光学字符识别	光學字符識別
光纤通信系统	光纖通信系統
克孜勒苏地区	克孜勒蘇地區
克孜尔千佛洞	克孜爾千佛洞
克希荷夫定律	克希荷夫定律
克拉斯诺达尔	克拉斯諾達爾
克林伊斯威特	克林伊斯威特
克莉奥佩特拉	克莉奧佩特拉
克赖斯特彻奇	克賴斯特徹奇
克里斯塔基斯	克里斯塔基斯
克里斯汀贝尔	克里斯汀貝爾
克里斯蒂安松	克里斯蒂安松
克里特克里岛	克里特克里島
克里米亚半岛	克里米亞半島
克里米亚战争	克里米亞戰爭
克雷伯氏菌属	克雷伯氏菌屬
免试升高中班	免試升高中班
党太尉吃匾食	党太尉吃匾食
兜肚断了带子	兜肚斷了帶子
入出境管理局	入出境管理局
內脏器官移植	內臟器官移植
內蒙古自治区	內蒙古自治區
全国代表大会	全國代表大會
全国劳动模范	全國勞動模範
全球发展中心	全球發展中心
全球定位系统	全球定位系統
全球气候升温	全球氣候升溫
八万四千法门	八萬四千法門
八小时工作制	八小時工作制
公共休闲环境	公共休閒環境
公墓里放鞭炮	公墓裏放鞭炮
公益慈善团体	公益慈善團體
公门里好修行	公門裏好修行
共同闸道介面	共同閘道介面
兵马司倒了墙	兵馬司倒了牆
养老鼠咬布袋	養老鼠咬布袋
内容管理系统	內容管理系統
内布拉斯加州	內布拉斯加州
内蒙古自治区	內蒙古自治區
写真合成海报	寫真合成海報
农业生产技术	農業生產技術
准分子雷射仪	準分子雷射儀
准稳旋涡结构	準穩旋渦結構
几內亚共和国	幾內亞共和國
出人意料之外	出人意料之外
出处不如聚处	出處不如聚處
出家人吃八方	出家人吃八方
出席表决比例	出席表決比例
出气多进气少	出氣多進氣少
出汙泥而不染	出汙泥而不染
出淤泥而不染	出淤泥而不染
出版社目录卡	出版社目錄卡
出血性登革热	出血性登革熱
分布连结网络	分布連結網絡
列夫托尔斯泰	列夫托爾斯泰
列宁威权体系	列寧威權體系
前向拥塞通知	前向擁塞通知
前怕狼后怕虎	前怕狼後怕虎
前言不对后语	前言不對後語
前言不答后语	前言不答後語
前车复后车戒	前車覆後車戒
加尔克汉德省	加爾克漢德省
加州技术学院	加州技術學院
加里宁格勒州	加裏寧格勒州
包利克莱荳斯	包利克萊荳斯
化干戈为玉帛	化干戈爲玉帛
北京师范大学	北京師範大學
北京艺术学院	北京藝術學院
北瓦兹里斯坦	北瓦茲里斯坦
区域网路技术	區域網路技術
十五亿八千万	十五億八千萬
十六亿五千万	十六億五千萬
千不幸万不幸	千不幸萬不幸
千不是万不是	千不是萬不是
千吨级核武器	千噸級核武器
千手千眼观音	千手千眼觀音
千闻不如一见	千聞不如一見
华东师范大学	華東師範大學
