㓦划	㓦劃
㔩叶	㔩葉
䜣合	訢合
一万	一萬
一个	一個
一了	一了
一伙	一夥
一余	一餘
一克	一克
一党	一黨
一冲	一衝
一准	一準
一出	一齣
一划	一劃
一别	一別
一千	一千
一发	一發
一只	一隻
一台	一臺
一叶	一葉
一吊	一吊
一同	一同
一向	一向
一周	一週
一哄	一鬨
一回	一回
一团	一團
一坛	一罈
一干	一干
一并	一併
一当	一當
一念	一念
一扎	一紮
一扣	一扣
一折	一折
一挂	一掛
一搜	一搜
一斗	一斗
一曲	一曲
一杆	一杆
一杠	一槓
一杯	一杯
一松	一鬆
一板	一板
一柜	一櫃
一涂	一塗
一游	一遊
一种	一種
一签	一簽
一系	一系
一致	一致
一表	一表
一里	一里
一针	一針
一面	一面
丁丑	丁丑
丁克	丁克
丁冬	丁冬
丁当	丁當
丁种	丁種
七万	七萬
七个	七個
七余	七餘
七出	七出
七划	七劃
七千	七千
七发	七發
七只	七隻
七台	七臺
七回	七回
七团	七團
七娘	七娘
七彩	七彩
七扎	七紮
七折	七折
七杯	七杯
七种	七種
万一	萬一
万万	萬萬
万丈	萬丈
万世	萬世
万个	萬個
万丰	萬豐
万丹	萬丹
万乘	萬乘
万事	萬事
万人	萬人
万仞	萬仞
万代	萬代
万份	萬份
万众	萬眾
万位	萬位
万余	萬餘
万俟	万俟
万倍	萬倍
万儿	萬兒
万元	萬元
万全	萬全
万几	萬幾
万分	萬分
万劫	萬劫
万千	萬千
万华	萬華
万卷	萬卷
万历	萬曆
万县	萬縣
万古	萬古
万只	萬隻
万叶	萬葉
万名	萬名
万国	萬國
万圆	萬圓
万壑	萬壑
万夫	萬夫
万姓	萬姓
万字	萬字
万安	萬安
万家	萬家
万寿	萬壽
万山	萬山
万岁	萬歲
万峦	萬巒
万年	萬年
万幸	萬幸
万念	萬念
万急	萬急
万恶	萬惡
万户	萬戶
万扎	萬紮
万把	萬把
万斤	萬斤
万方	萬方
万旗	万旗
万无	萬無
万有	萬有
万望	萬望
万机	萬機
万桶	萬桶
万步	萬步
万死	萬死
万段	萬段
万点	萬點
万物	萬物
万状	萬狀
万用	萬用
万盛	萬盛
万石	萬石
万福	萬福
万种	萬種
万窍	萬竅
万端	萬端
万箱	萬箱
万籁	萬籟
万米	萬米
万缘	萬緣
万能	萬能
万般	萬般
万言	萬言
万象	萬象
万贯	萬貫
万道	萬道
万邦	萬邦
万部	萬部
万里	萬里
万重	萬重
万金	萬金
万钧	萬鈞
万锺	萬鍾
万难	萬難
万顷	萬頃
万馀	萬餘
万马	萬馬
丈余	丈餘
三万	三萬
三个	三個
三丰	三豐
三余	三餘
三克	三克
三党	三黨
三冬	三冬
三准	三準
三千	三千
三只	三隻
三台	三臺
三合	三合
三同	三同
三向	三向
三周	三週
三复	三複
三尸	三尸
三才	三才
三扎	三紮
三杆	三杆
三杠	三槓
三杯	三杯
三板	三板
三极	三極
三涂	三塗
三秋	三秋
三穗	三穗
三舍	三舍
三苏	三蘇
三表	三表
三辟	三辟
三针	三針
三面	三面
上万	上萬
上了	上了
上党	上黨
上冲	上衝
上千	上千
上升	上升
上台	上臺
上叶	上葉
上吊	上吊
上周	上週
上回	上回
上复	上覆
上当	上當
上彩	上彩
上搜	上搜
上杠	上槓
上柜	上櫃
上梁	上樑
上游	上游
上签	上籤
上舍	上舍
上药	上藥
上蜡	上蠟
上表	上表
上链	上鍊
上面	上面
下了	下了
下于	下於
下冲	下衝
下出	下出
下厂	下廠
下发	下發
下台	下臺
下叶	下葉
下同	下同
下向	下向
下周	下週
下回	下回
下彩	下彩
下才	下才
下摆	下襬
下梁	下樑
下注	下注
下游	下游
下种	下種
下签	下籤
下药	下藥
下表	下表
下采	下采
下里	下里
下面	下面 下麵
不丑	不醜
不了	不了
不修	不修
不借	不借
不克	不克
不准	不準 不准
不出	不出
不升	不升
不占	不佔
不只	不只
不合	不合
不吊	不弔
不同	不同
不向	不向
不周	不周
不复	不復
不尽	不盡
不干	不幹
不并	不併
不幸	不幸
不当	不當
不彩	不彩
不念	不念
不愿	不願
不才	不才
不托	不託
不扣	不扣
不折	不折
不挂	不掛
不斗	不鬥
不极	不極
不欲	不欲
不涂	不塗
不确	不確
不系	不繫
不胜	不勝
不致	不致
不舍	不捨
不获	不獲
不表	不表
不谷	不穀
不赞	不讚
不适	不適
不采	不採
不须	不須
与党	與黨
丑三	丑三
丑丑	醜醜
丑也	丑也
丑事	醜事
丑于	醜於
丑人	醜人
丑侪	醜儕
丑剧	醜劇
丑化	醜化
丑史	醜史
丑名	醜名
丑咤	醜吒
丑地	醜地
丑声	醜聲
丑夷	醜夷
丑女	醜女
丑妇	醜婦
丑媳	醜媳
丑年	丑年
丑徒	醜徒
丑态	醜態
丑怪	醜怪
丑恶	醜惡
丑日	丑日
丑旦	丑旦
丑时	丑時
丑月	丑月
丑末	醜末
丑杂	醜雜
丑样	醜樣
丑死	醜死
丑比	醜比
丑沮	醜沮
丑牛	丑牛
丑生	醜生
丑男	醜男
丑相	醜相
丑类	醜類
丑脸	醜臉
丑虏	醜虜
丑行	醜行
丑角	丑角
丑言	醜言
丑诋	醜詆
丑话	醜話
丑语	醜語
丑辞	醜辭
丑辱	醜辱
丑逆	醜逆
丑闻	醜聞
丑陋	醜陋
专修	專修
专制	專制
专向	專向
专干	專幹
专征	專征
专才	專才
专摆	專擺
专柜	專櫃
专注	專注
且于	且於
世仇	世仇
世台	世臺
世系	世系
世表	世表
世面	世面
丘克	丘克
丙种	丙種
丙舍	丙舍
业余	業餘
业种	業種
东丰	東豐
东伙	東夥
东升	東昇
东厂	東廠
东台	東臺
东向	東向
东周	東周
东岳	東嶽
东干	東干
东征	東征
东游	東遊
东胡	東胡
东蒙	東蒙
东里	東里
东面	東面
丝发	絲髮
丝布	絲布
丝杆	絲桿
丝杠	絲槓
丝板	絲板
丝线	絲綫
丝虫	絲蟲
丢丑	丟醜
丢了	丟了
丢出	丟出
两万	兩萬
两个	兩個
两余	兩餘
两克	兩克
两党	兩黨
两千	兩千
两只	兩隻
两台	兩臺
两叶	兩葉
两周	兩週
两回	兩回
两当	兩當
两扎	兩紮
两杆	兩杆
两杠	兩槓
两杯	兩杯
两板	兩板
两极	兩極
两种	兩種
两面	兩面
严于	嚴於
严冬	嚴冬
严制	嚴制
严复	嚴復
严恶	嚴惡
丧尸	喪屍
丧尽	喪盡
丧志	喪志
丧钟	喪鐘
个个	個個
个中	箇中
个事	個事
个人	個人
个位	個位
个体	個體
个例	個例
个儿	個兒
个别	個別
个头	個頭
个子	個子
个展	個展
个性	個性
个把	個把
个数	個數
个旧	個舊
个样	個樣
个核	個核
个案	個案
个里	個裏
个钟	個鐘
中于	中於
中云	中雲
中仑	中崙
中台	中颱 中臺
中叶	中葉
中岳	中嶽
中彩	中彩
中恶	中惡
中才	中才
中搜	中搜
中板	中板
中极	中極
中核	中核
中涂	中塗
中游	中游
中秋	中秋
中签	中籤
中胡	中胡
中药	中藥
中表	中表
中谷	中谷
丰下	豐下
丰业	豐業
丰乐	豐樂
丰产	豐產
丰仪	丰儀
丰伟	豐偉
丰儀	丰儀
丰功	豐功
