一万二	一萬二
一万五	一萬五
一万多	一萬多
一万年	一萬年
一万馀	一萬餘
一上台	一上臺
一下台	一下臺
一个个	一個個
一个人	一個人
一个准	一個準
一个劲	一個勁
一个样	一個樣
一伙人	一夥人
一伙头	一夥頭
一伙食	一伙食
一党制	一黨制
一写出	一寫出
一出去	一出去
一出场	一出場
一出子	一齣子
一出戏	一齣戲
一出来	一出來
一出生	一出生
一分钟	一分鐘
一别头	一彆頭
一加仑	一加侖
一千万	一千萬
一千个	一千個
一千人	一千人
一千亿	一千億
一千元	一千元
一千吨	一千噸
一千块	一千塊
一千多	一千多
一千年	一千年
一千点	一千點
一千馀	一千餘
一半只	一半隻
一口钟	一口鐘
一只只	一隻隻
一台台	一臺臺
一叶兰	一葉蘭
一吊钱	一吊錢
一向是	一向是
一周年	一週年
一周遭	一周遭
一喊出	一喊出
一回事	一回事
一回到	一回到
一回去	一回去
一回回	一回回
一回来	一回來
一团团	一團團
一团火	一團火
一团糟	一團糟
一地里	一地裏
一块面	一塊麵
一大伙	一大夥
一天后	一天後
一天钟	一天鐘
一妻制	一妻制
一干人	一干人
一扎脚	一扎腳
一托头	一托頭
一托气	一托氣
一播出	一播出
一斗斗	一斗斗
一方面	一方面
一杯杯	一杯杯
一杯羹	一杯羹
一根烟	一根菸
一溜烟	一溜煙
一点钟	一點鐘
一百万	一百萬
一看出	一看出
一碗面	一碗麵
一秒钟	一秒鐘
一笔划	一筆劃
一系列	一系列
一统志	一統志
一翻出	一翻出
一胎制	一胎制
一致字	一致字
一致性	一致性
一见面	一見面
一览表	一覽表
一讲出	一講出
一说出	一說出
一路发	一路發
一递里	一遞裏
一道烟	一道煙
一锅面	一鍋麵
一院制	一院制
一面倒	一面倒
一面食	一麵食
丁伯升	丁伯升
丁字梁	丁字梁
丁柏升	丁柏升
丁鸿志	丁鴻志
七万多	七萬多
七万馀	七萬餘
七个人	七個人
七五折	七五折
七分钟	七分鐘
七十万	七十萬
七十几	七十幾
七千万	七千萬
七千人	七千人
七千亿	七千億
七千元	七千元
七千多	七千多
七千馀	七千餘
七台河	七臺河
七叶胆	七葉膽
七天后	七天後
七娘妈	七娘媽
七巧板	七巧板
七彩虹	七彩虹
七星坛	七星壇
七星岩	七星巖
七星板	七星板
七点钟	七點鐘
七百万	七百萬
七秒钟	七秒鐘
七色板	七色板
七里河	七里河
七里香	七里香
万一会	萬一會
万一只	萬一只
万一在	萬一在
万一是	萬一是
万一有	萬一有
万万岁	萬萬歲
万丹乡	萬丹鄉
万事得	萬事得
万事达	萬事達
万事通	萬事通
万人坑	萬人坑
万人敌	萬人敵
万人敵	萬人敵
万人迷	萬人迷
万代兰	萬代蘭
万余只	萬餘隻
万余里	萬餘里
万元户	萬元戶
万全县	萬全縣
万全街	萬全街
万华区	萬華區
万华站	萬華站
万博省	萬博省
万卷书	萬卷書
万历史	萬歷史
万县市	萬縣市
万县港	萬縣港
万只怕	萬只怕
万向节	萬向節
万国宫	萬國宮
万国旗	萬國旗
万国码	萬國碼
万圣节	萬聖節
万多只	萬多隻
万天后	萬天後
万宁市	萬寧市
万安县	萬安縣
万宝华	萬寶華
万宝囊	萬寶囊
万宝常	萬寶常
万宝路	萬寶路
万家乐	萬家樂
万家香	萬家香
万寿山	萬壽山
万寿果	萬壽果
万寿菊	萬壽菊
万山镇	萬山鎮
万岁爷	萬歲爺
万峦乡	萬巒鄉
万州区	萬州區
万年前	萬年前
万年历	萬年曆
万年县	萬年縣
万年青	萬年青
万恩市	萬恩市
万户侯	萬戶侯
万把块	萬把塊
万斯同	萬斯同
万景峰	萬景峰
万智牌	萬智牌
万杞良	萬杞良
万柏林	萬柏林
万步表	萬步表
万毒枯	萬毒枯
万民伞	萬民傘
万沙浪	萬沙浪
万泉河	萬泉河
万泰银	萬泰銀
万洋山	萬洋山
万源市	萬源市
万灵丹	萬靈丹
万灵节	萬靈節
万灵药	萬靈藥
万用表	萬用表
万盛区	萬盛區
万盛溪	萬盛溪
万秀区	萬秀區
万维网	萬維網
万能梗	萬能梗
万能胶	萬能膠
万能锅	萬能鍋
万艾可	萬艾可
万花筒	萬花筒
万荣乡	萬榮鄉
万荣县	萬榮縣
万言书	萬言書
万载县	萬載縣
万那杜	萬那杜
万里乡	萬里鄉
万里侯	萬里侯
万重山	萬重山
万金油	萬金油
万馀人	萬餘人
万馀元	萬餘元
万鸦老	萬鴉老
万齐融	萬齊融
丈母娘	丈母娘
三万个	三萬個
三万人	三萬人
三万元	三萬元
三万块	三萬塊
三万多	三萬多
三专制	三專制
三个人	三個人
三个月	三個月
三仙台	三仙台
三元里	三元里
三八制	三八制
三分钟	三分鐘
三十万	三十萬
三十几	三十幾
三千万	三千萬
三千个	三千個
三千人	三千人
三千亿	三千億
三千元	三千元
三千块	三千塊
三千多	三千多
三千馀	三千餘
三只手	三隻手
三台县	三台縣
三叶期	三葉期
三叶松	三葉松
三叶草	三葉草
三叶虫	三葉蟲
三合一	三合一
三合会	三合會
三合土	三合土
三合房	三合房
三合星	三合星
三合板	三合板
三合院	三合院
三周年	三週年
三国志	三國志
三天后	三天後
三夹板	三夾板
三尸神	三尸神
三年制	三年制
三思台	三思臺
三恶道	三惡道
三折肱	三折肱
三方面	三方面
三杯鸡	三杯雞
三极管	三極管
三段制	三段制
三点钟	三點鐘
三班制	三班制
三用表	三用表
三百万	三百萬
三百个	三百個
三秒钟	三秒鐘
三穗县	三穗縣
三结合	三結合
三统历	三統曆
三胜制	三勝制
三角板	三角板
三角表	三角表
三连胜	三連勝
三部曲	三部曲
三里屯	三裏屯
三里河	三裏河
三长制	三長制
三青团	三青團
三面体	三面體
三面网	三面網
三面角	三面角
上一个	上一個
上下游	上下游
上不了	上不了
上个月	上個月
上千万	上千萬
上千人	上千人
上升为	上升爲
上半叶	上半葉
上发条	上發條
上合屋	上閤屋
上同调	上同調
上夸克	上夸克
上市柜	上市櫃
上栗县	上栗縣
上梁山	上梁山
上梁文	上梁文
上百万	上百萬
上确界	上確界
上签写	上簽寫
上签名	上簽名
上签字	上簽字
上签收	上簽收
上花台	上花臺
上药膏	上藥膏
上课钟	上課鐘
上面糊	上麵糊
上面级	上面級
上马杯	上馬杯
下一个	下一個
下三面	下三面
下不了	下不了
下个月	下個月
下仑路	下崙路
下划线	下劃綫
下台阶	下臺階
下城里	下城裏
下夸克	下夸克
下得了	下得了
下板儿	下板兒
下注解	下註解
下确界	下确界
下签写	下簽寫
下签名	下簽名
下签字	下簽字
下签收	下簽收
下课后	下課後
下课钟	下課鐘
下马杯	下馬杯
不一致	不一致
不下于	不下於
不世出	不世出
不乐于	不樂於
不了情	不了情
不了汉	不了漢
不了解	不瞭解
不二价	不二價
不亚于	不亞於
不体面	不體面
不作准	不作準
不值当	不值當
不偏极	不偏極
不停当	不停當
不光彩	不光彩
不克制	不剋制
不全症	不全症
不准他	不准他
不准你	不准你
不准备	不準備
不准她	不准她
不准它	不准它
不准我	不准我
不准没	不准沒
不准确	不準確
不准许	不准許
不准谁	不准誰
不出去	不出去
不出材	不出材
不出来	不出來
不划算	不划算
不利于	不利於
不占卜	不占卜
不占算	不占算
不发心	不發心
不只是	不只是
不可当	不可當
不合作	不合作
不合式	不合式
不合格	不合格
不合法	不合法
不合理	不合理
不合算	不合算
不合羣	不合羣
不合群	不合羣
不合节	不合節
不合适	不合適
不同于	不同於
不同人	不同人
不同处	不同處
不同意	不同意
不同点	不同點
不同调	不同調
不周到	不周到
不周山	不周山
不周延	不周延
不周风	不周風
不善于	不善於
不在了	不在了
不外借	不外借
不多于	不多於
不好了	不好了
不孕症	不孕症
不小于	不小於
不少于	不少於
不尽年	不盡年
不尽心	不盡心
不尽木	不盡木
不尽根	不盡根
不尽然	不盡然
不屑于	不屑於
不属于	不屬於
不干事	不幹事
不干他	不干他
不干休	不干休
不干你	不干你
不干净	不乾淨
不干她	不干她
不干它	不干它
不干我	不干我
不干扰	不干擾
不干擾	不干擾
不干杯	不乾杯
不干涉	不干涉
不干淨	不乾淨
不干牠	不干牠
不干犯	不干犯
不干脆	不乾脆
不干裂	不乾裂
不干預	不干預
不干预	不干預
不当事	不當事
不当人	不當人
不当党	不當黨
不当准	不當準
不当官	不當官
不当家	不當家
不当数	不當數
不当紧	不當緊
不当道	不當道
不得了	不得了
不得志	不得志
不得闲	不得閒
不情愿	不情願
不愿意	不願意
不成才	不成才
不挂眼	不掛眼
不放松	不放鬆
不敢当	不敢當
不整合	不整合
不早了	不早了
不明确	不明確
不松下	不鬆下
不标准	不標準
不正当	不正當
不正确	不正確
不死药	不死藥
不气干	不氣干
不注意	不注意
不甘于	不甘於
不相同	不相同
不相干	不相干
不确定	不確定
不确实	不確實
不符合	不符合
不等于	不等於
不系舟	不繫舟
不织布	不織布
不老药	不老藥
不育症	不育症
不胜春	不勝春
不胜衣	不勝衣
不至于	不至於
不致于	不致於
不舍得	不捨得
不舒适	不舒適
不良才	不良才
不虚发	不虛發
不行了	不行了
不见了	不見了
不见面	不見面
不规范	不規範
不讨采	不討采
不识闲	不識閒
不说价	不說價
不说出	不說出
不谐当	不諧當
不赞成	不贊成
不适合	不適合
不适当	不適當
不适感	不適感
不适用	不適用
不逊于	不遜於
不采声	不采聲
不锈钢	不鏽鋼
不限于	不限於
不龟药	不龜藥
与克制	與剋制
丑丫头	醜丫頭
丑八怪	醜八怪
丑剌剌	醜剌剌
丑女人	醜女人
丑奴儿	醜奴兒
丑婆子	丑婆子
丑媳妇	醜媳婦
丑小鸭	醜小鴨
丑巴怪	醜巴怪
丑毙了	醜斃了
丑表功	丑表功
丑贼生	醜賊生
丑闻案	醜聞案
专修班	專修班
专修科	專修科
专利药	專利藥
专制权	專制權
专注力	專注力
专精于	專精於
专辑里	專輯裏
世出世	世出世
世台会	世臺會
世彩堂	世綵堂
世恩录	世恩錄
世田谷	世田谷
世界杯	世界盃
世界里	世界裏
世纪钟	世紀鐘
世阿弥	世阿彌
业余者	業餘者
丛台区	叢臺區
丛生叶	叢生葉
东丰县	東豐縣
东丰阁	東豐閣
东京柜	東京櫃
东仓里	東倉里
东北向	東北向
东北面	東北面
东南向	東南向
东南面	東南面
东台市	東臺市
东台湾	東臺灣
东周时	東周時
东周钟	東周鐘
东学党	東學黨
东山里	東山里
东林党	東林黨
东胜区	東勝區
东西向	東西向
东西周	東西周
丝托索	絲托索
丝挂子	絲掛子
丝瓜布	絲瓜布
丝盘虫	絲盤蟲
丝织厂	絲織廠
丝绒布	絲絨布
丝虫病	絲蟲病
丢体面	丟體面
丢出去	丟出去
丢包术	丟包術
丢巧针	丟巧針
丢面子	丟面子
两万个	兩萬個
两万人	兩萬人
两万元	兩萬元
两万块	兩萬塊
两万多	兩萬多
两万馀	兩萬餘
两三千	兩三千
两下里	兩下里
两个人	兩個人
两个月	兩個月
两党制	兩黨制
两分钟	兩分鐘
两千万	兩千萬
两千个	兩千個
两千五	兩千五
两千人	兩千人
两千亿	兩千億
两千元	兩千元
两千块	兩千塊
两千多	兩千多
两千年	兩千年
两千馀	兩千餘
两只手	兩隻手
两周年	兩週年
两回事	兩回事
两天后	兩天後
两娘女	兩娘女
两当一	兩當一
两当县	兩當縣
两撇胡	兩撇鬍
两方面	兩方面
两极化	兩極化
两极管	兩極管
两段制	兩段制
两点钟	兩點鐘
两班制	兩班制
两百万	兩百萬
两百个	兩百個
两种人	兩種人
两秒钟	兩秒鐘
两院制	兩院制
两面倒	兩面倒
两面光	兩面光
两面刀	兩面刀
两面性	兩面性
两面派	兩面派
两面锯	兩面鋸
严云农	嚴云農
个中人	箇中人
个人化	個人化
个人奖	個人獎
个人性	個人性
个人用	個人用
个人秀	個人秀
个人组	個人組
个人赛	個人賽
个人风	個人風
个位数	個位數
个体户	個體戶
个别性	個別性
个头儿	個頭兒
个屁阿	個屁阿
个性化	個性化
个把月	個把月
个旧县	箇舊縣
个旧市	個舊市
个股为	個股爲
个过客	個過客
个钟表	個鐘錶
中上游	中上游
中下游	中下游
中了暑	中了暑
中了标	中了標
中了毒	中了毒
