一万一千	一萬一千
一万七千	一萬七千
一万三千	一萬三千
一万两千	一萬兩千
一万九千	一萬九千
一万二千	一萬二千
一万五千	一萬五千
一万八千	一萬八千
一万六千	一萬六千
一万四千	一萬四千
一不注意	一不注意
一丝不挂	一絲不掛
一个劲儿	一個勁兒
一个子儿	一個子兒
一个样儿	一個樣兒
一个鼻孔	一個鼻孔
一中一台	一中一臺
一举千里	一舉千里
一了心愿	一了心願
一了百了	一了百了
一了百当	一了百當
一争两丑	一爭兩醜
一代豪杰	一代豪傑
一以当十	一以當十
一体两面	一體兩面
一佛出世	一佛出世
一偿宿愿	一償宿願
一元复始	一元復始
一党专制	一黨專制
一党独大	一黨獨大
一冲一撞	一衝一撞
一冲性子	一沖性子
一决胜负	一決勝負
一出祁山	一出祁山
一分收获	一分收穫
一别多年	一別多年
一刻千金	一刻千金
一前一后	一前一後
一力承当	一力承當
一千两百	一千兩百
一千多万	一千多萬
一千多亿	一千多億
一千零一	一千零一
一千零三	一千零三
一千零二	一千零二
一厘一毫	一釐一毫
一厢情愿	一廂情願
一去不回	一去不回
一去不复	一去不復
一发不可	一發不可
一发之差	一髮之差
一发之间	一髮之間
一发千钧	一髮千鈞
一口价儿	一口價兒
一叶扁舟	一葉扁舟
一叶知秋	一葉知秋
一号木杆	一號木桿
一哄而上	一哄而上
一哄而散	一鬨而散
一哄而起	一哄而起
一哄而集	一哄而集
一团和气	一團和氣
一团漆黑	一團漆黑
一国两制	一國兩制
一地胡拿	一地胡拿
一坛死水	一壇死水
一塌糊涂	一塌糊塗
一壸千金	一壺千金
一夜致富	一夜致富
一大郎当	一大郎當
一天星斗	一天星斗
一夫当关	一夫當關
一孔出气	一孔出氣
一字一板	一字一板
一字千金	一字千金
一寸秋波	一寸秋波
一展长才	一展長才
一干二净	一乾二淨
一干二淨	一乾二淨
一干家中	一干家中
一干弟兄	一干弟兄
一干弟子	一干弟子
一干而尽	一乾而盡
一干部下	一干部下
一并处理	一併處理
一开出来	一開出來
一心向上	一心向上
一念三千	一念三千
一折一磨	一折一磨
一折两段	一折兩段
一折八扣	一折八扣
一拍即合	一拍即合
一挂之下	一掛之下
一掷千金	一擲千金
一掷百万	一擲百萬
一摇一摆	一搖一擺
一摇三摆	一搖三擺
一斗再斗	一鬥再鬥
一无所获	一無所獲
一日万机	一日萬機
一日三秋	一日三秋
一日千里	一日千里
一早起了	一早起了
一时糊涂	一時糊塗
一曲千金	一曲千金
一曲阳关	一曲陽關
一本万利	一本萬利
一杆进洞	一桿進洞
一板一眼	一板一眼
一板三眼	一板三眼
一树百获	一樹百穫
一死了之	一死了之
一毫一发	一毫一髮
一池秋水	一池秋水
一波三折	一波三折
一泻千里	一瀉千里
一派胡言	一派胡言
一流人才	一流人才
一片狼借	一片狼藉
一物一制	一物一制
一物克一	一物剋一
一百多万	一百多萬
一百廿万	一百廿萬
一目了然	一目瞭然
一相情愿	一相情願
一瞻丰采	一瞻丰采
一碧万顷	一碧萬頃
一禾九穗	一禾九穗
一穗三秀	一穗三秀
一笑了之	一笑了之
一笑千金	一笑千金
一答一合	一答一合
一箭之仇	一箭之仇
一箭双雕	一箭雙鵰
一网打尽	一網打盡
一至于此	一至於此
一致百虑	一致百慮
一般等价	一般等價
