一目瞭然	一目了然
上覆	上复
上鍊	上链
不瞭解	不了解
么麼	幺麽
么麼小丑	幺麽小丑
以免藉口	以免借口
以功覆過	以功复过
侔德覆載	侔德复载
傷亡枕藉	伤亡枕借
凌藉	凌借
出醜狼藉	出丑狼借
函覆	函复
千鍾粟	千锺粟
反反覆覆	反反复复
反覆	反复
反覆思維	反复思维
反覆思量	反复思量
反覆性	反复性
名覆金甌	名复金瓯
回覆	回复
射覆	射复
幺麼小丑	幺麽小丑
情有獨鍾	情有独钟 情有独锺
慰藉	慰借
憑藉	凭借
憑藉着	凭借着
手鍊	手链
找藉口	找借口
拉鍊	拉链
拉鍊工程	拉链工程
拜覆	拜复
據瞭解	据了解
文錦覆阱	文锦复阱
明瞭	明了
明覆	明复
書中自有千鍾粟	书中自有千锺粟
李澤鉅	李泽钜
李鍊福	李链福
李鍾郁	李锺郁
沈沒	沉没
沈沒成本	沉没成本
沈積	沉积
沈船	沉船
沈默	沉默
滑藉	滑借
狐藉虎威	狐借虎威
珍珠項鍊	珍珠项链
甚鉅	甚钜
申覆	申复
發覆	发复
盼既示覆	盼既示复
瞭如	了如
瞭如指掌	了如指掌
瞭然	了然
瞭然於心	了然于心
瞭若指掌	了若指掌
瞭解	了解
瞭解到	了解到
示覆	示复
稟覆	禀复
答覆	答复
簡單明瞭	简单明了
籌畫	筹划
素藉	素借
老態龍鍾	老态龙钟 老态龙锺
肘手鍊足	肘手链足
茵藉	茵借
萬鍾	万锺
蕩覆	荡复
藉代	借代
藉以	借以
藉助	借助
藉助於	借助于
藉卉	借卉
藉口	借口
藉喻	借喻
藉寇兵	借寇兵
藉寇兵齎盜糧	借寇兵赍盗粮
藉手	借手
藉據	借据
藉故	借故
藉故推辭	借故推辞
藉方	借方
藉條	借条
藉槁	借槁
藉機	借机
藉此	借此
藉此機會	借此机会
藉甚	借甚
藉由	借由
藉着	借着
藉端	借端
藉端生事	借端生事
藉箸代籌	借箸代筹
藉草枕塊	借草枕块
藉著	借着
藉藉	借借
藉詞	借词
藉讀	借读
藉資	借资
蘊藉	蕴借
蘊藉含蓄	蕴借含蓄
衹得	只得
衹見樹木	只见树木
衹見樹木不見森林	只见树木不见森林
覆上	复上
覆住	复住
覆信	复信
覆冒	复冒
覆呈	复呈
覆命	复命
覆墓	复墓
覆宗	复宗
覆帳	复帐
覆幬	复帱
覆成	复成
覆按	复按
覆文	复文
覆杯	复杯
覆校	复校
覆瓮	复甕
覆瓿	复瓿
覆盂	复盂
覆盆	复盆
覆盤	复盘
覆育	复育
覆舟	复舟
覆蕉尋鹿	复蕉寻鹿
覆逆	复逆
覆醢	复醢
覆醬瓿	复酱瓿
覆電	复电
覆露	复露
覆鹿尋蕉	复鹿寻蕉
覆鹿遺蕉	复鹿遗蕉
覆鼎	复鼎
見覆	见复
計畫	计划
貂覆額	貂复额
買臣覆水	买臣复水
踅門瞭戶	踅门了户
躪藉	躏借
酒逢知己千鍾少	酒逢知己千锺少
酒逢知己千鍾少話不投機半句多	酒逢知己千锺少话不投机半句多
醞藉	酝借
重覆	重复
金鍊	金链
鈕釦	纽扣
鈞覆	钧复
鉅萬	钜万
鉅防	钜防
鉸鍊	铰链
銀鍊	银链
鍊墜	链坠
鍊子	链子
鍊形	链形
鍊條	链条
鍊錘	链锤
鍊鎖	链锁
鍛鍾	锻锺
鍾繇	钟繇 锺繇
鍾萬梅	锺万梅
鍾重發	锺重发
鍾鍛	锺锻
鎖鍊	锁链
鐵鍊	铁链
鑽石項鍊	钻石项链
雁杳魚沈	雁杳鱼沉
雖覆能復	虽覆能复
電覆	电复
露覆	露复
項鍊	项链
頗覆	颇复
頸鍊	颈链
顧藉	顾借
麼麼	麽麽
龍鍾	龙钟 龙锺
