缺省	預設
默認值	預設值
串行	串列
以太網	乙太網
位圖	點陣圖
光標	游標
光盤	光碟
光驅	光碟機
全角	全形
加載	載入
半角	半形
變量	變數
脫機	離線
聲卡	音效卡
顯卡	顯示卡
字庫	字型檔
字段	欄位
字符	字元
字符集	字符集
存盤	存檔
保存	儲存
尋址	定址
異步	非同步
總線	匯流排
接口	介面
控件	控制項
權限	許可權
盤片	碟片
硬盤	硬碟
磁盤	磁碟
磁道	磁軌
端口	埠
算子	運算元
算法	演算法
芯片	晶片
軟驅	軟碟機
閃存	快閃記憶體
鼠標	滑鼠
進制	進位制
交互式	互動式
仿真	模擬
優先級	優先順序
傳感	感測
便攜式	攜帶型
信息	資訊
信息論	資訊理論
寫保護	防寫
分辨率	解析度
服務器	伺服器
網路	網路
局域網	區域網
互聯網	網際網路
掃描儀	掃瞄器
寬帶	寬頻
數據	資料
數據庫	資料庫
調製解調器	數據機
打印	列印
打印机	印表機
字節	位元組
軟件	軟體
硬件	硬體
二極管	二極體
三極管	三極體
人工智能	人工智慧
航天飛機	太空梭
移動電話	行動電話
短信	簡訊
